audio_file|text
wavs/audio_0001.wav|C'mon, I won't hurt you. I promise!
wavs/audio_0002.wav|My axe is thirsty.
wavs/audio_0003.wav|Chop chop!
wavs/audio_0004.wav|Death by steel!
wavs/audio_0005.wav|Finally, some fun!
wavs/audio_0006.wav|Faster to battle!
wavs/audio_0007.wav|Obliteration!
wavs/audio_0008.wav|The worth of a man can be measured by the length of his beard, and the girth of his belt buckle.
wavs/audio_0009.wav|To plunder!
wavs/audio_0010.wav|To action!
wavs/audio_0011.wav|The might of Lokfar approaches!
wavs/audio_0012.wav|I'm going.
wavs/audio_0013.wav|C'mon, I won't hurt you. I promise!
wavs/audio_0014.wav|Leave nothing behind!
