audio_file|text
wavs/audio_0001.wav|The ball is angry.
wavs/audio_0002.wav|So strange, they scream.
wavs/audio_0003.wav|The ball is angry.
wavs/audio_0004.wav|Why do they keep breaking?
wavs/audio_0005.wav|We are as one.
wavs/audio_0006.wav|I have sharp things.
wavs/audio_0007.wav|Yes, I am a weapon.
wavs/audio_0008.wav|Protect.
wavs/audio_0009.wav|Protect.
wavs/audio_0010.wav|Protect.
wavs/audio_0011.wav|Protect.
wavs/audio_0012.wav|They come apart so easily. How do you put them back together again?
wavs/audio_0013.wav|We go.
wavs/audio_0014.wav|I hear soft things.
wavs/audio_0015.wav|The ball is impatient.
wavs/audio_0016.wav|Motivating.
wavs/audio_0017.wav|Why are they running?
wavs/audio_0018.wav|Winding.
wavs/audio_0019.wav|This is a fun game.
wavs/audio_0020.wav|This is very exciting.
wavs/audio_0021.wav|Time tick-ticks away.
wavs/audio_0022.wav|Ravage.
wavs/audio_0023.wav|Ravage.
wavs/audio_0024.wav|Ravage.
wavs/audio_0025.wav|Ravage.
wavs/audio_0026.wav|Throw.
wavs/audio_0027.wav|Throw.
wavs/audio_0028.wav|Throw.
wavs/audio_0029.wav|Pulse.
wavs/audio_0030.wav|Pulse.
wavs/audio_0031.wav|Pulse.
wavs/audio_0032.wav|Pulse.
wavs/audio_0033.wav|We will kill your enemies. That will be fun.
