audio_file|text
wavs/audio_0001.wav|Flee, and the spear will find your back.
wavs/audio_0002.wav|Cry, war! Louder!
wavs/audio_0003.wav|Life was always a war.
wavs/audio_0004.wav|You can only defeat yourself.
wavs/audio_0005.wav|Unbroken.
wavs/audio_0006.wav|Willpower sets my spear alight.
wavs/audio_0007.wav|Do not give up!
wavs/audio_0008.wav|You will not fail if it is worth it.
wavs/audio_0009.wav|Everything, or nothing.
wavs/audio_0010.wav|Echo for eons.
wavs/audio_0011.wav|Again!
wavs/audio_0012.wav|Spear and shield. A pantheon.
wavs/audio_0013.wav|Power will be your undoing.
wavs/audio_0014.wav|A legion of one.
wavs/audio_0015.wav|Fight, because you must!
wavs/audio_0016.wav|Before you fight, you must rise.
wavs/audio_0017.wav|No mercy for the strong.
wavs/audio_0018.wav|Until my spear dulls.
wavs/audio_0019.wav|Let fear make you bold.
wavs/audio_0020.wav|Strike now, strike harder!
wavs/audio_0021.wav|Between each beat of my heart, I strike.
wavs/audio_0022.wav|Into legend.
wavs/audio_0023.wav|Aatrox! The World Ender. But from death, comes life.
wavs/audio_0024.wav|The power you sought has destroyed you, Aatrox. You will find no other end.
wavs/audio_0025.wav|You sought to become a god, and you were made their pet.
wavs/audio_0026.wav|Parasite!
wavs/audio_0027.wav|The blows of gods cannot shatter the world if they strike me instead!
wavs/audio_0028.wav|Darkin or Aspect, it does not matter.
wavs/audio_0029.wav|Gods need slaves, and they found you.
wavs/audio_0030.wav|I am not the Pantheon you knew, creature. I am Atreus, a mortal, about to slay a dragon!
wavs/audio_0031.wav|I once trusted my destiny to the stars, dragon. Now, I trust in steel.
wavs/audio_0032.wav|Braveheart
wavs/audio_0033.wav|Is this a god, or a rug?
wavs/audio_0034.wav|Battle is a dance, and the fortunate find their partner.
wavs/audio_0035.wav|You preach movement, while anchoring our souls.
wavs/audio_0036.wav|Kayn. Either the weapon is redundant, or you are.
wavs/audio_0037.wav|Hide behind your faith, Solari, and the robes of your priests.
wavs/audio_0038.wav|Beneath Aspect and armor, you are more resilient than you know.
wavs/audio_0039.wav|While you bow to the sun, my spear finds your neck.
wavs/audio_0040.wav|Our destiny is to fight, and only the bravest do not refuse it. I understand this, Lunari.
wavs/audio_0041.wav|If only your kind could see what you see, Soraka, they would weep for you as you weep for us.
wavs/audio_0042.wav|You call yourself the Aspect of the Protector, but now the one in need isyou.
wavs/audio_0043.wav|If it isn't the Aspect everyone used to like.
wavs/audio_0044.wav|I earned my spear with my brother's dying breath. How did you earn yours, Demacian?
wavs/audio_0045.wav|I have faced many self proclaimed gods. The worst wears the face of a child.
wavs/audio_0046.wav|Face me.
wavs/audio_0047.wav|We bleed into the same earth, and bleed we must.
wavs/audio_0048.wav|Why do you fight?
wavs/audio_0049.wav|I call upon the stars… to bake my bountiful breads!
wavs/audio_0050.wav|Fresh from my bakery… my secret dream.
wavs/audio_0051.wav|How many hosts must I kill, Darkin?
wavs/audio_0052.wav|The Darkin's final words are not their own… but the cries of humanity.
wavs/audio_0053.wav|All things end!
wavs/audio_0054.wav|Mortality can only be severed by the spear's edge.
wavs/audio_0055.wav|The starslie!
wavs/audio_0056.wav|Return home on your shield.
wavs/audio_0057.wav|Stand up. Face me again.
wavs/audio_0058.wav|Keep fighting.
