audio_file|text
wavs/audio_0001.wav|I'd keep my head down if I were you.
wavs/audio_0002.wav|Strike from the sky.
wavs/audio_0003.wav|Just like hunting thresher geese.
wavs/audio_0004.wav|Look Val, snacks.
wavs/audio_0005.wav|Still heart, steady aim.
wavs/audio_0006.wav|You get the next one, Val.
wavs/audio_0007.wav|Flush 'em out.
wavs/audio_0008.wav|Fly swiftly... kill swiftly.
wavs/audio_0009.wav|I'll follow your lead, Valor.
wavs/audio_0010.wav|Stay on the target.
wavs/audio_0011.wav|Who's there? Fiora who? Valor, that's just mean!
wavs/audio_0012.wav|Who's there? Jarvan who? Uh, Valor!
wavs/audio_0013.wav|Who's there? Garen who? Yeah, I guess he does say that a lot.
wavs/audio_0014.wav|Sometimes I swear that bird is just showing off.
wavs/audio_0015.wav|Val's stealing all the glory again.
wavs/audio_0016.wav|Demacia needs heroes.
wavs/audio_0017.wav|We Elves are not easy prey
wavs/audio_0018.wav|A bird's eye view is the best advantage.
wavs/audio_0019.wav|There's always a trail.
wavs/audio_0020.wav|We've got this covered.
wavs/audio_0021.wav|Demacia is counting on us.
wavs/audio_0022.wav|Buy me some time.
wavs/audio_0023.wav|Find me a path.
wavs/audio_0024.wav|Stick to the plan, Val.
wavs/audio_0025.wav|We're in this together.
wavs/audio_0026.wav|I live behind enemy lines.
wavs/audio_0027.wav|Gouge 'em, Valor!
wavs/audio_0028.wav|Go for the eyes!
wavs/audio_0029.wav|Now!
wavs/audio_0030.wav|Valor, to me!
wavs/audio_0031.wav|I'd keep my head down if I were you.
wavs/audio_0032.wav|I've got friends in high places.
wavs/audio_0033.wav|Valor's shadow is the last thing you'll see.
wavs/audio_0034.wav|Need eyes on 'em!
wavs/audio_0035.wav|Eyes in the sky.
wavs/audio_0036.wav|What do you see up there?
wavs/audio_0037.wav|Justice takes wing.
