audio_file|text
wavs/audio_0001.wav|Seriously? Seriously? Lame.
wavs/audio_0002.wav|Be silent and live.
wavs/audio_0003.wav|What you looking at?
wavs/audio_0004.wav|Time to go to work!
wavs/audio_0005.wav|Where you going? Where you going?
wavs/audio_0006.wav|I have killed for her! I will kill for her again.
wavs/audio_0007.wav|I'm gonna tear this placeup!
wavs/audio_0008.wav|Yep! I'm amazing!
wavs/audio_0009.wav|We will not fade away.
wavs/audio_0010.wav|You're gonna love this!
wavs/audio_0011.wav|This is you getting slapped!
wavs/audio_0012.wav|I'm here! We can get it started!
wavs/audio_0013.wav|They ain't ready! They. Ain't. Ready.
wavs/audio_0014.wav|I feel alright!
wavs/audio_0015.wav|You got something to say?
wavs/audio_0016.wav|Let's get it!
wavs/audio_0017.wav|Am I not magnificent?
wavs/audio_0018.wav|Am I not magnificent?
wavs/audio_0019.wav|Here's what's happening!
wavs/audio_0020.wav|Nothing's fun without risk!
wavs/audio_0021.wav|Pay attention! Woo!
wavs/audio_0022.wav|Hell, let's do it!
wavs/audio_0023.wav|I got some moves for ya!
wavs/audio_0024.wav|I'm gonna slap all of you!
wavs/audio_0025.wav|I'm right here!
wavs/audio_0026.wav|Hey, what did the five fingers say to the face?
wavs/audio_0027.wav|I'm incorrigible!
wavs/audio_0028.wav|Look! I'm a distraction!
wavs/audio_0029.wav|Want to see some sweet moves?
wavs/audio_0030.wav|I can be very distracting!
wavs/audio_0031.wav|What you looking at?
wavs/audio_0032.wav|Dance or die!
wavs/audio_0033.wav|I like parties with a little violence!
wavs/audio_0034.wav|I can't die looking this good!
wavs/audio_0035.wav|I got one more thing for you!
wavs/audio_0036.wav|Time to get started!
wavs/audio_0037.wav|You gonna feel this one!
wavs/audio_0038.wav|I'm gonna hit 'em!
wavs/audio_0039.wav|You will see the dance of death.
wavs/audio_0040.wav|I need to get in it!
wavs/audio_0041.wav|It ain't a party without a fight!
wavs/audio_0042.wav|Oh! I need to get in there!
wavs/audio_0043.wav|Hey! What you doing?
wavs/audio_0044.wav|Let's get it started!
wavs/audio_0045.wav|They gonna love this!
wavs/audio_0046.wav|I'm gonna slap all of you!
wavs/audio_0047.wav|Let's get interesting.
wavs/audio_0048.wav|Let's dance!
wavs/audio_0049.wav|Who... wants... to dance?
wavs/audio_0050.wav|This is the message!
wavs/audio_0051.wav|Hello? You ready for me?
wavs/audio_0052.wav|I'm here to party!
wavs/audio_0053.wav|Count it down! One, two, they dead!
wavs/audio_0054.wav|You're gonna get hurt!
wavs/audio_0055.wav|I don't do safe!
wavs/audio_0056.wav|Damn, this is exciting!
wavs/audio_0057.wav|Hey! I got a joke for you!
wavs/audio_0058.wav|You will see my dance!
wavs/audio_0059.wav|Hey, the party's over here!
wavs/audio_0060.wav|This is all so intense!
wavs/audio_0061.wav|Ain't gonna slow me down!
wavs/audio_0062.wav|Woo! You animals are dumb!
wavs/audio_0063.wav|I got some moves for you!
wavs/audio_0064.wav|Look at me now!
wavs/audio_0065.wav|Learn to dance!
wavs/audio_0066.wav|Man, that's insulting!
wavs/audio_0067.wav|You're welcome!
wavs/audio_0068.wav|You like that?
wavs/audio_0069.wav|Yeah!
wavs/audio_0070.wav|Get some!
wavs/audio_0071.wav|You gonna take that from me?
wavs/audio_0072.wav|Can't stop me!
wavs/audio_0073.wav|How's that face?
wavs/audio_0074.wav|Watch me!
wavs/audio_0075.wav|Say yeah!
wavs/audio_0076.wav|Insulted yet?
wavs/audio_0077.wav|My palm sends its regards!
wavs/audio_0078.wav|Slap!
wavs/audio_0079.wav|Try and hit me, fool!
wavs/audio_0080.wav|Oh yeah!
wavs/audio_0081.wav|Baby, I don't do safe!
wavs/audio_0082.wav|Oh, this is all so intense!
wavs/audio_0083.wav|You can't tell me you weren't impressed!
wavs/audio_0084.wav|Just generally! I'm amazing!
wavs/audio_0085.wav|I can't die looking this good!
wavs/audio_0086.wav|After this, how about we get some human food?
wavs/audio_0087.wav|Chocolate!
wavs/audio_0088.wav|We're eating chocolate!
wavs/audio_0089.wav|Nope, but let's do it!
wavs/audio_0090.wav|I have a cunning plan.
wavs/audio_0091.wav|I'm not going to tell you. That's the really cunning bit!
wavs/audio_0092.wav|I think you intimidate human females.
wavs/audio_0093.wav|It's kinda hot!
wavs/audio_0094.wav|Should I show them the dance?
wavs/audio_0095.wav|You thinking about me?
wavs/audio_0096.wav|That's very upsetting!
wavs/audio_0097.wav|Try not to die?
wavs/audio_0098.wav|Did you see the clothes those guys were wearing?
wavs/audio_0099.wav|Rakan has arrived!
wavs/audio_0100.wav|Yeah! That's what I like!
wavs/audio_0101.wav|Can I start off?
wavs/audio_0102.wav|Let's start it off!
wavs/audio_0103.wav|I'm a humble entertainer!
wavs/audio_0104.wav|Yeah, I'm the best.
wavs/audio_0105.wav|Who is that gorgeous thing over there?
wavs/audio_0106.wav|It's always the time!
wavs/audio_0107.wav|Hey, I'm not gonna kill you, she is! Say hi, honey.
wavs/audio_0108.wav|I'm handling it, dear.
wavs/audio_0109.wav|I was, I— I will.
wavs/audio_0110.wav|How long do we fight?
wavs/audio_0111.wav|Is that after lunch?
wavs/audio_0112.wav|Uh... yes?
wavs/audio_0113.wav|How will we know if the plan works?
wavs/audio_0114.wav|I am not a piece of meat.
wavs/audio_0115.wav|Caw caw, caw caw!
wavs/audio_0116.wav|We have a secret call? I just like that sound! Caw caw!
wavs/audio_0117.wav|No one can control me!
wavs/audio_0118.wav|Ha! When don't I?
wavs/audio_0119.wav|If I vanish, what would you do?
wavs/audio_0120.wav|Am I good to you?
wavs/audio_0121.wav|I'm going rogue!
wavs/audio_0122.wav|Be right back!
wavs/audio_0123.wav|Who can know these things?
wavs/audio_0124.wav|I know.
wavs/audio_0125.wav|I can't hear you over all the fun I'm having!
