audio_file|text
wavs/audio_0001.wav|Chaos will follow.
wavs/audio_0002.wav|Carnage.
wavs/audio_0003.wav|Bask in their blood!
wavs/audio_0004.wav|I'll leave them in pieces!
wavs/audio_0005.wav|Embrace the jaws of death.
wavs/audio_0006.wav|Light meat, dark meat, it's all the same.
wavs/audio_0007.wav|No suffering is too great!
wavs/audio_0008.wav|You should have done a better job locking me away, Nasus!
wavs/audio_0009.wav|You are not my brother, traitor!
wavs/audio_0010.wav|Oceans of blood!
wavs/audio_0011.wav|Trapped in a box so long Xerath, they never should have let us out!
wavs/audio_0012.wav|Xerath, we will give them what they deserve…
wavs/audio_0013.wav|All will suffer as I have!
wavs/audio_0014.wav|Make this hurt…
wavs/audio_0015.wav|Shred their fragile bodies!
wavs/audio_0016.wav|They will feel pain they've never imagined!
wavs/audio_0017.wav|Massacre them!
wavs/audio_0018.wav|There is no retreat.
wavs/audio_0019.wav|Chaos will follow.
wavs/audio_0020.wav|Who's next on the chopping block?
wavs/audio_0021.wav|Welcome the havoc.
wavs/audio_0022.wav|Nothing will stop me!
wavs/audio_0023.wav|Lavish brutality.
wavs/audio_0024.wav|Destruction approaches.
wavs/audio_0025.wav|Nasus cannot escape me forever!
wavs/audio_0026.wav|The slaughter will never end!
wavs/audio_0027.wav|I will spare no one!
wavs/audio_0028.wav|I will gut you all!
wavs/audio_0029.wav|I will tear the world asunder!
wavs/audio_0030.wav|Now you will know agony!
wavs/audio_0031.wav|As I live, all will die!
