audio_file|text
wavs/audio_0001.wav|A true hunter never rests.
wavs/audio_0002.wav|Their heads will adorn my wall.
wavs/audio_0003.wav|Carve off a souvenir.
wavs/audio_0004.wav|A fitting prize.
wavs/audio_0005.wav|Nothing will escape.
wavs/audio_0006.wav|Another piece for my collection.
wavs/audio_0007.wav|Lesser creature.
wavs/audio_0008.wav|Don't trip!
wavs/audio_0009.wav|Slow down!
wavs/audio_0010.wav|Easy prey.
wavs/audio_0011.wav|I've found you, beast!
wavs/audio_0012.wav|I see you, wretched creature!
wavs/audio_0013.wav|So much bloodshed... This is my kind of place!
wavs/audio_0014.wav|All these trophies... I'm gonna need a bigger den!
wavs/audio_0015.wav|Monsters can be made to fear.
wavs/audio_0016.wav|I seek only the strongest.
wavs/audio_0017.wav|Walk the killer's path.
wavs/audio_0018.wav|A true hunter never rests.
wavs/audio_0019.wav|Strike when ready.
wavs/audio_0020.wav|Catch their trail.
wavs/audio_0021.wav|Comfort breeds weakness.
wavs/audio_0022.wav|Whose head shall I take?
wavs/audio_0023.wav|The scent of prey.
wavs/audio_0024.wav|There is the hunter and the hunted.
wavs/audio_0025.wav|Leave only a trail of bodies.
wavs/audio_0026.wav|What a glorious hunt!
wavs/audio_0027.wav|A fine collection.
wavs/audio_0028.wav|Never return empty-handed.
wavs/audio_0029.wav|I'm just getting started.
wavs/audio_0030.wav|Each trophy a victory.
wavs/audio_0031.wav|Spoils of the hunt.
wavs/audio_0032.wav|A token of my conquests.
wavs/audio_0033.wav|Remember every kill.
wavs/audio_0034.wav|More prey, more prizes.
wavs/audio_0035.wav|Listen...
wavs/audio_0036.wav|Focus...
wavs/audio_0037.wav|You've earned a good death. I've earned the kill.
wavs/audio_0038.wav|You have a warrior's heart. I think I'll take it.
wavs/audio_0039.wav|Let's fight!
wavs/audio_0040.wav|Come on!
wavs/audio_0041.wav|Tonight, we hunt!
