audio_file|text
wavs/audio_0001.wav|Learn from your mistakes.
wavs/audio_0002.wav|They've crossed the line.
wavs/audio_0003.wav|So much death.
wavs/audio_0004.wav|A necessary strike.
wavs/audio_0005.wav|To serve the greater good.
wavs/audio_0006.wav|Violence to end violence.
wavs/audio_0007.wav|For those who were lost.
wavs/audio_0008.wav|It must come to pass.
wavs/audio_0009.wav|They cannot go unpunished!
wavs/audio_0010.wav|The time for talk is over.
wavs/audio_0011.wav|There is no other way.
wavs/audio_0012.wav|I am awakened.
wavs/audio_0013.wav|Ugh... I knew I should have sprung for the blade warranty.
wavs/audio_0014.wav|This is why I spend so much time sheath shopping.
wavs/audio_0015.wav|What conflict awaits?
wavs/audio_0016.wav|My hands are stained.
wavs/audio_0017.wav|Burdens of the past.
wavs/audio_0018.wav|How should I proceed?
wavs/audio_0019.wav|A sword mirrors its owner.
wavs/audio_0020.wav|My spirit is not lost.
wavs/audio_0021.wav|So long I've wandered...
wavs/audio_0022.wav|Choose your own path.
wavs/audio_0023.wav|Learn from your mistakes.
wavs/audio_0024.wav|Leave doubt behind.
wavs/audio_0025.wav|I know my purpose.
wavs/audio_0026.wav|No looking back.
wavs/audio_0027.wav|No more hesitation.
wavs/audio_0028.wav|A moment of clarity.
wavs/audio_0029.wav|I am awakened...
wavs/audio_0030.wav|They cannot go unpunished...
wavs/audio_0031.wav|The time for talk is over...
wavs/audio_0032.wav|There is no other way...
wavs/audio_0033.wav|Bleach
wavs/audio_0034.wav|You are beyond redemption!
wavs/audio_0035.wav|What is broken can be reforged.
