audio_file|text
wavs/audio_0001.wav|Alright... I'm going.
wavs/audio_0002.wav|Time for a Bandle City beatdown.
wavs/audio_0003.wav|Baby, don't fail me now!
wavs/audio_0004.wav|Ready for round two.
wavs/audio_0005.wav|Thought you'd never ask.
wavs/audio_0006.wav|The bigger they are, the harder I hit 'em.
wavs/audio_0007.wav|Wheeeee...!
wavs/audio_0008.wav|Bandle City! Oops, forgot the clutch.
wavs/audio_0009.wav|Turbo on--- ! Uh... woah--- ! Just needs a little kick start there.
wavs/audio_0010.wav|Who wants a piece of this?
wavs/audio_0011.wav|Who you callin' little?
wavs/audio_0012.wav|You don't have to tell me twice.
wavs/audio_0013.wav|Revved up!
wavs/audio_0014.wav|Alright, I'm going.
wavs/audio_0015.wav|Ever lookedupto a yordle?
wavs/audio_0016.wav|Hold 'er steady.
wavs/audio_0017.wav|Now we're cookin'.
wavs/audio_0018.wav|Hot hot hot hot hot hot hot! Ooh, aah!
wavs/audio_0019.wav|Hot hot hot! Oh! Ah! Hot hot hot hot hot!
wavs/audio_0020.wav|Warning!
wavs/audio_0021.wav|Come on, I'm not even holding the controls!
wavs/audio_0022.wav|Let's get in the fight!
