audio_file|text
wavs/audio_0001.wav|Eh, I could do better.
wavs/audio_0002.wav|Oooh you look promising.
wavs/audio_0003.wav|On my worst behavior.
wavs/audio_0004.wav|I fight on my terms.
wavs/audio_0005.wav|Next breath might be your last.
wavs/audio_0006.wav|Let's make this fun!
wavs/audio_0007.wav|Bah! Like Tereshni all over again.
wavs/audio_0008.wav|Push off.
wavs/audio_0009.wav|Oh lookie here. Target practice.
wavs/audio_0010.wav|Came all this way to die? Hm?
wavs/audio_0011.wav|You're mine.
wavs/audio_0012.wav|Seize the moment!
wavs/audio_0013.wav|Settle down sweet-cake.
wavs/audio_0014.wav|Don't mess with me.
wavs/audio_0015.wav|Well! Look at you.
wavs/audio_0016.wav|Think fast!
wavs/audio_0017.wav|I'll take care of this.
wavs/audio_0018.wav|And I'm not even looking.
wavs/audio_0019.wav|Finally some action!
wavs/audio_0020.wav|Always bet on me.
wavs/audio_0021.wav|I'm bored. Fight me!
wavs/audio_0022.wav|Don't hold back. I won't.
wavs/audio_0023.wav|Push my limits! I dare you.
wavs/audio_0024.wav|Least I didn't die of boredom...
wavs/audio_0025.wav|Style never fades...
wavs/audio_0026.wav|Over here!
wavs/audio_0027.wav|Eyes up!
wavs/audio_0028.wav|Too slow!
wavs/audio_0029.wav|Woo!
wavs/audio_0030.wav|Keep up!
wavs/audio_0031.wav|The sad mummy! My māmān used to tell stories about you when I was a girl. How I loved them.
wavs/audio_0032.wav|Shurima. Needs. No. Emperor!
wavs/audio_0033.wav|I know your type, Draven. The kind of man who's compensating for something.
wavs/audio_0034.wav|That gauntlet would be better off without you, kid.
wavs/audio_0035.wav|You seem kinda pale, LeBlanc. Sure you're getting enough sun?
wavs/audio_0036.wav|Sarah, is it? I've killed many captains. Let's see how you measure up.
wavs/audio_0037.wav|A talking turtle? Okay, maybe I did have one too many.
wavs/audio_0038.wav|Sivir. You say you'll do anything for the right price, but what's the price of one's destiny?
wavs/audio_0039.wav|Hey, old man. How long you got before that demon takes over?
wavs/audio_0040.wav|Honestly, lantern man? Not sure you can handle my soul.
wavs/audio_0041.wav|If it looks like a blood sucker and it sounds like a blood sucker... Maybe I ought to kill it.
wavs/audio_0042.wav|Xerath. Your people ended my home. I will end your existence.
wavs/audio_0043.wav|Ugh. I missed a freakin' cliff-diving trip for this crap?
