audio_file|text
wavs/audio_0001.wav|Oookay!
wavs/audio_0002.wav|Kick it!
wavs/audio_0003.wav|How about a call and response?
wavs/audio_0004.wav|Let's jam!
wavs/audio_0005.wav|This beat's got a kick!
wavs/audio_0006.wav|Sing along!
wavs/audio_0007.wav|Listen to yourself!
wavs/audio_0008.wav|Pop!
wavs/audio_0009.wav|Sing it with me!
wavs/audio_0010.wav|Oh, snap!
wavs/audio_0011.wav|Catch that rhythm!
wavs/audio_0012.wav|Listen!
wavs/audio_0013.wav|Oh yeah!
wavs/audio_0014.wav|Sometimes music hurts.
wavs/audio_0015.wav|Don't back down!
wavs/audio_0016.wav|Hear that?
wavs/audio_0017.wav|Do you make carpets? Because you are cutting that rug!
wavs/audio_0018.wav|Show's not over...
wavs/audio_0019.wav|Keep singing...!
wavs/audio_0020.wav|Not a fan...
wavs/audio_0021.wav|Double time!
wavs/audio_0022.wav|And downbeat!
wavs/audio_0023.wav|Feel that reverb!
wavs/audio_0024.wav|Pow!
wavs/audio_0025.wav|Sit down and listen up!
wavs/audio_0026.wav|Love a captive audience!
wavs/audio_0027.wav|Azir, lemme try. Shurima!
wavs/audio_0028.wav|Camille! Sorry, but you're the only one marching to your drum.
wavs/audio_0029.wav|No one keeps time like you, Ekko.
wavs/audio_0030.wav|Such a perfect four-four! But also... so wrong!
wavs/audio_0031.wav|Whoa! I can't follow your song at all, and I... love it!
wavs/audio_0032.wav|Lux, your song sounds like a rainbow!
wavs/audio_0033.wav|Wow! You sing in such color, Neeko!
wavs/audio_0034.wav|Oh, Sona, your song is so... wow!
wavs/audio_0035.wav|Hey, Vi! Wrote you a fight song. Bet you'd love it.
wavs/audio_0036.wav|Wow! We've only just met, and I'm already inspired.
wavs/audio_0037.wav|I'll fight if you make me, but we could sing instead!
wavs/audio_0038.wav|Aw, how can I say anything bad about a fan? Come on, make some noise!
wavs/audio_0039.wav|Can't wait to write a song about this moment!
wavs/audio_0040.wav|Hey! Wanna hear your song?
wavs/audio_0041.wav|Was that... my first hater?
wavs/audio_0042.wav|One-two-three, one-two-three...
wavs/audio_0043.wav|There's nothing we can't do together!
wavs/audio_0044.wav|Your song's gonna get stuck in my head!
wavs/audio_0045.wav|Nobody can truly silence you. Not even me.
wavs/audio_0046.wav|Thanks for listening!
wavs/audio_0047.wav|I expect an encore!
wavs/audio_0048.wav|You can't let that be your swan song.
wavs/audio_0049.wav|Runnin' out of steam!
wavs/audio_0050.wav|I sing to help them find themselves. The stage just makes it easier.
wavs/audio_0051.wav|Everything sings to me! I've gotta sing it all back.
