audio_file|text
wavs/audio_0001.wav|The joke's on you!
wavs/audio_0002.wav|Look... behind you.
wavs/audio_0003.wav|The joke's on you!
wavs/audio_0004.wav|March, march, march, march!
wavs/audio_0005.wav|This will be fun!
wavs/audio_0006.wav|Now you see me, now you don't!
wavs/audio_0007.wav|Just a little bit closer!
wavs/audio_0008.wav|This will be fun!
wavs/audio_0009.wav|Here we go!
wavs/audio_0010.wav|Just a little bit closer!
wavs/audio_0011.wav|Now you see me, now you don't!
wavs/audio_0012.wav|March, march, march, march!
wavs/audio_0013.wav|The joke's on you!
wavs/audio_0014.wav|How about a magic trick?
