audio_file|text
wavs/audio_0001.wav|So I go.
wavs/audio_0002.wav|It must be done.
wavs/audio_0003.wav|Understood.
wavs/audio_0004.wav|With honor.
wavs/audio_0005.wav|I find them unworthy.
wavs/audio_0006.wav|Tread carefully Preston, you're treading on my dreams.
wavs/audio_0007.wav|There is no dispute.
wavs/audio_0008.wav|Tread carefully Preston, you're treading on my dreams.
wavs/audio_0009.wav|With balanced steps.
wavs/audio_0010.wav|Press on.
wavs/audio_0011.wav|Immediately.
wavs/audio_0012.wav|Our wills align.
wavs/audio_0013.wav|So I go.
wavs/audio_0014.wav|Guinsoo!
wavs/audio_0015.wav|Spirit's Refuge Cast SFX
wavs/audio_0016.wav|Spirit's Refuge Cast SFX
wavs/audio_0017.wav|Spirit's Refuge Cast SFX
wavs/audio_0018.wav|Spirit's Refuge Area Activation SFX
wavs/audio_0019.wav|Spirit's Refuge Area Activation SFX
wavs/audio_0020.wav|Spirit's Refuge Area Activation SFX
wavs/audio_0021.wav|Spirit's Refuge Area Deactivation SFX
wavs/audio_0022.wav|Spirit's Refuge Area Deactivation SFX
wavs/audio_0023.wav|Spirit's Refuge Area Deactivation SFX
wavs/audio_0024.wav|Spirit's Refuge Area Deactivation SFX
wavs/audio_0025.wav|Spirit's Refuge Blade Flourish SFX
wavs/audio_0026.wav|Spirit's Refuge Blade Flourish SFX
wavs/audio_0027.wav|Spirit's Refuge Blade Flourish SFX
wavs/audio_0028.wav|Spirit's Refuge Block SFX
wavs/audio_0029.wav|Spirit's Refuge Block SFX
wavs/audio_0030.wav|Spirit's Refuge Block SFX
wavs/audio_0031.wav|Spirit's Refuge Block SFX
wavs/audio_0032.wav|Spirit's Refuge Lesser Block SFX
wavs/audio_0033.wav|Spirit's Refuge Lesser Block SFX
wavs/audio_0034.wav|Spirit's Refuge Lesser Block SFX
wavs/audio_0035.wav|Spirit's Refuge Lesser Block SFX
wavs/audio_0036.wav|A demonstration of superior judgement.
