audio_file|text
wavs/audio_0001.wav|I smell fear.
wavs/audio_0002.wav|Feel my talons.
wavs/audio_0003.wav|I will dance in their ashes.
wavs/audio_0004.wav|Fragile creatures.
wavs/audio_0005.wav|Fear me.
wavs/audio_0006.wav|I am unleashed.
wavs/audio_0007.wav|Tremble before the power of a dragon.
wavs/audio_0008.wav|Behold my true form.
wavs/audio_0009.wav|Power flows through me.
wavs/audio_0010.wav|Think you're a dragon slayer? Come here and try.
wavs/audio_0011.wav|By the blood of my father, I will end them.
wavs/audio_0012.wav|Suffer my fury.
wavs/audio_0013.wav|The might of Demacia will prevail.
wavs/audio_0014.wav|They are nothing before me.
wavs/audio_0015.wav|They see their end.
wavs/audio_0016.wav|The rage.
wavs/audio_0017.wav|What do you get when a dragon sneezes? (chuckles) Out of the way.
wavs/audio_0018.wav|Without remorse.
wavs/audio_0019.wav|The enemies of Demacia will fall.
wavs/audio_0020.wav|I smell fear.
wavs/audio_0021.wav|They have faced nothing like me.
wavs/audio_0022.wav|The dragon nears.
wavs/audio_0023.wav|They should run now.
wavs/audio_0024.wav|I go.
wavs/audio_0025.wav|Come get a glimpse into the belly of the beast!
wavs/audio_0026.wav|They are nothing before me.
