audio_file|text
wavs/audio_0001.wav|You've already lost.
wavs/audio_0002.wav|Voidborn, I am the arbiter of your demise.
wavs/audio_0003.wav|Bless me, Sentinel, or perish.
wavs/audio_0004.wav|Sovereign of dragons, I will break you.
wavs/audio_0005.wav|You're nothing but a glorified serpent.
wavs/audio_0006.wav|Lend me your primordial fury.
wavs/audio_0007.wav|Disgusting.
wavs/audio_0008.wav|A false herald to a silent crowd.
wavs/audio_0009.wav|You herald your own demise.
wavs/audio_0010.wav|Bend to my will, you pebble.
wavs/audio_0011.wav|Life bows to my command.
wavs/audio_0012.wav|Mindless beasts.
wavs/audio_0013.wav|Myresolve is stronger.
wavs/audio_0014.wav|I will silence your appetite.
wavs/audio_0015.wav|Your death will be my blessing.
wavs/audio_0016.wav|Nature fights, because it must.
wavs/audio_0017.wav|I am beyond myth.
wavs/audio_0018.wav|Youwillsubmit.
wavs/audio_0019.wav|I am Ixtal!
wavs/audio_0020.wav|Pathetic!
wavs/audio_0021.wav|On yourknees!
wavs/audio_0022.wav|Witness my might.
wavs/audio_0023.wav|Break upon me.
wavs/audio_0024.wav|Youdarechallenge me?!
wavs/audio_0025.wav|Torn to shreds!
wavs/audio_0026.wav|I am your end.
wavs/audio_0027.wav|I ambrackern!
wavs/audio_0028.wav|I eclipse you.
wavs/audio_0029.wav|Pay tribute.
wavs/audio_0030.wav|I will shatter you!
wavs/audio_0031.wav|You arenothing.
wavs/audio_0032.wav|Yeah, yeah, yeah, yeh...
wavs/audio_0033.wav|Yeah, yeah, yeah, yeh...
wavs/audio_0034.wav|No! I cannot die! I am eternal—!
wavs/audio_0035.wav|I will keep them safe... I must...
wavs/audio_0036.wav|No! I cannot die! I am eternal—!
wavs/audio_0037.wav|I will keep them safe... I must...
wavs/audio_0038.wav|I am calamity!
wavs/audio_0039.wav|Bend or break!
wavs/audio_0040.wav|Crush beneath me!
wavs/audio_0041.wav|Ascension is but a desperate grasp for power! I will rip it from you.
wavs/audio_0042.wav|You invited your own end, Azir.
wavs/audio_0043.wav|I stand between my people and your appetite, Bel'Veth.Starve.
wavs/audio_0044.wav|From Ascended to Darkin—this corruption was always your fate.
wavs/audio_0045.wav|Child of Ixtal, I will show you my vision of the future.
wavs/audio_0046.wav|Master Saijax, show me the final echo of Icathia's hope.
wavs/audio_0047.wav|Ne'Zuk's creation—Malphite, you are but a shard of your former glory.
wavs/audio_0048.wav|The 'gentle flame'? You carry a traitor's fire.
wavs/audio_0049.wav|Qiyana, daughter of the Yun. I know what mutiny you plot in the shadows.
wavs/audio_0050.wav|An 'armordillo'? ...No.
wavs/audio_0051.wav|Youweavestone, Taliyah; Icommandit.
wavs/audio_0052.wav|I will excise your corruption from this land, Voidborn.
wavs/audio_0053.wav|Zyra, I will uproot you from this world like a weed.
wavs/audio_0054.wav|I am Skarner of Clan Ọ̀pal-hin, progeny of broodmother Nixalẹ, and I will be your undoing.
wavs/audio_0055.wav|Against me, you are nothing.
wavs/audio_0056.wav|I will live an eternity. You, an instant.
wavs/audio_0057.wav|You may request my counsel, but I do nothaveto accept.
wavs/audio_0058.wav|Your impact on this world is but a grain of sand in a vast desert! Let me show you.
wavs/audio_0059.wav|What did I just—oh, oh... oh, disgusting.
wavs/audio_0060.wav|I sentence you to one million years in the dungeon.
wavs/audio_0061.wav|Adventure Time
wavs/audio_0062.wav|Men in Black
wavs/audio_0063.wav|What did I just—oh, oh... oh, disgusting.
wavs/audio_0064.wav|Shurima sees you for what you truly are, Ascended. Embrace the fall.
wavs/audio_0065.wav|Shurima sees you for what you truly are, Ascended. Embrace the fall.
wavs/audio_0066.wav|Only false gods bleed, Azir.
wavs/audio_0067.wav|Only false gods bleed, Azir.
wavs/audio_0068.wav|Drown within your lavender sea, 'empress.'
wavs/audio_0069.wav|Drown within your lavender sea, 'empress.'
wavs/audio_0070.wav|The gilding of the Ascended, cracked to show the rot within.
