audio_file|text
wavs/audio_0001.wav|Dissonance.
wavs/audio_0002.wav|Someone's feeling it.
wavs/audio_0003.wav|Right on queue.
wavs/audio_0004.wav|Two hearts in three-four time.
wavs/audio_0005.wav|Don't make me get off stage.
wavs/audio_0006.wav|I'll help you find your seat.
wavs/audio_0007.wav|If you insist.
wavs/audio_0008.wav|A sublime duet.
wavs/audio_0009.wav|Wrong key!
wavs/audio_0010.wav|We've got a heckler.
wavs/audio_0011.wav|An aggressive movement!
wavs/audio_0012.wav|Your pitch is off.
wavs/audio_0013.wav|I'm not looking for notes.
wavs/audio_0014.wav|The fanfare ascends.
wavs/audio_0015.wav|Quiet, please!
wavs/audio_0016.wav|Delicately.
wavs/audio_0017.wav|Harmoniously.
wavs/audio_0018.wav|A symphony of justice.
wavs/audio_0019.wav|Back off.
wavs/audio_0020.wav|Keep your voice down!
wavs/audio_0021.wav|With perfect tempo.
wavs/audio_0022.wav|You've struck a bad chord.
wavs/audio_0023.wav|Here's your show.
wavs/audio_0024.wav|Order through music.
wavs/audio_0025.wav|Double time!
wavs/audio_0026.wav|Triple time!
wavs/audio_0027.wav|Step lively.
wavs/audio_0028.wav|Hold that note.
wavs/audio_0029.wav|Pick up the pace!
wavs/audio_0030.wav|Accelerated movement.
wavs/audio_0031.wav|Fiddlesticks? But the songs, they can't be real.
wavs/audio_0032.wav|Is that Irelia? I haven't seen her since the restoration.
wavs/audio_0033.wav|Why won't Jarvan act? All it would take is a single decree.
wavs/audio_0034.wav|Am I supposed to know this person? Is he a... fan?
wavs/audio_0035.wav|A Crownguardanda mage? Wouldn't want to be her.
wavs/audio_0036.wav|And where has Ryze been? Hunting for more world ending relics?
wavs/audio_0037.wav|Oh. Is the grand general a fan?
wavs/audio_0038.wav|Sylas? He hasn't changed. And my answer is still no.
wavs/audio_0039.wav|It's good to see Taric hasn't changed. And bad. It's both.
wavs/audio_0040.wav|There's so much pain in Xin Zhao's heart. Why?
wavs/audio_0041.wav|Just keep smiling and... Maybe they'll go away.
