audio_file|text
wavs/audio_0001.wav|What must be done.
wavs/audio_0002.wav|What must be done.
wavs/audio_0003.wav|By the power of the stars.
wavs/audio_0004.wav|They will go no further.
wavs/audio_0005.wav|Be at peace.
wavs/audio_0006.wav|They will know serenity.
wavs/audio_0007.wav|Such hatred in their hearts.
wavs/audio_0008.wav|Violence cannot go unanswered.
wavs/audio_0009.wav|The Spanish Inquisition
wavs/audio_0010.wav|No, I'm not happy to see you. Yes, that is a horn growing out of my head.
wavs/audio_0011.wav|I lend my aid.
wavs/audio_0012.wav|This is my path.
wavs/audio_0013.wav|For peace of mind.
wavs/audio_0014.wav|Never waste a breath.
wavs/audio_0015.wav|To heal and protect.
wavs/audio_0016.wav|The whole world in balance.
wavs/audio_0017.wav|I heed their call.
wavs/audio_0018.wav|Every step, a new journey.
wavs/audio_0019.wav|Gracefully.
wavs/audio_0020.wav|Stars hear me!
wavs/audio_0021.wav|For life!
wavs/audio_0022.wav|Have hope!
wavs/audio_0023.wav|Live!
wavs/audio_0024.wav|Do you always fight so poorly?
wavs/audio_0025.wav|I will not save you.
wavs/audio_0026.wav|Let me guide you.
