audio_file|text
wavs/audio_0001.wav|You would do well to die, before my ravens find you.
wavs/audio_0002.wav|The right to rule, held, in my hand.
wavs/audio_0003.wav|Try to die with dignity.
wavs/audio_0004.wav|How tedious.
wavs/audio_0005.wav|Strength is the only teacher.
wavs/audio_0006.wav|If you insist on dying.
wavs/audio_0007.wav|A conquered nation, is a loyal one.
wavs/audio_0008.wav|We must remind them of their place.
wavs/audio_0009.wav|You lack discipline.
wavs/audio_0010.wav|A petty squabble for pettier men.
wavs/audio_0011.wav|Empire above all.
wavs/audio_0012.wav|Pity stays the hand of the merciful, but not mine.
wavs/audio_0013.wav|Submit.
wavs/audio_0014.wav|I will not tolerate interference!
wavs/audio_0015.wav|This will be my offering.
wavs/audio_0016.wav|Weak of body; weak of mind.
wavs/audio_0017.wav|This is the least of my crimes.
wavs/audio_0018.wav|The ends of war are death.
wavs/audio_0019.wav|Diplomacy is a subtle art.
wavs/audio_0020.wav|And to think, they called me a 'cripple'.
wavs/audio_0021.wav|Incompetence surrounds me.
wavs/audio_0022.wav|The Raven
wavs/audio_0023.wav|The Prince
wavs/audio_0024.wav|I don't know if you're the wisest being I've ever met, or a pile of mouldering blankets.
wavs/audio_0025.wav|Thorns in my side, but your flower is truly something to behold.
wavs/audio_0026.wav|Ah yes, Cassiopeia. I admire your commitment to... metaphor.
wavs/audio_0027.wav|It was only a matter of time, Darius. Do what you must.
wavs/audio_0028.wav|"""Your trust may be misplaced, old friend. But it is appreciated."
wavs/audio_0029.wav|All roads lead to Noxus—but all visions, to Demacia.
wavs/audio_0030.wav|You will find this delicate morsel, quite capable of fighting back.
wavs/audio_0031.wav|"""You stood by me when I was outcast, so I stood by you when you were drunk. In spite of the stench."
wavs/audio_0032.wav|Am I to seek revenge for my poor departed arm? If anything girl, you did me a favor.
wavs/audio_0033.wav|"""Do they know who killed your father, or do they still blame me?"
wavs/audio_0034.wav|If you take me, you will leave Noxus with something far worse.
wavs/audio_0035.wav|We both move pawns in a grand game. And look at that—It seems I'm winning.
wavs/audio_0036.wav|"""You see every flaw in me and you do not even blink. A bit unwise, wouldn't you say?"
wavs/audio_0037.wav|Life would be boring without surprises. You, certainly keep things... interesting.
wavs/audio_0038.wav|I suppose this makes us enemies with benefits.
wavs/audio_0039.wav|The world may fall to darkness. But Noxus, will remain.
wavs/audio_0040.wav|People often ask for a hero, when a villain is what they truly need.
wavs/audio_0041.wav|The Vastaya blood is not in my veins. It is on my hands.
wavs/audio_0042.wav|The best armor is being forgotten; and you my dear... are quite forgettable.
wavs/audio_0043.wav|There can be no balance with a hand on the scale.
wavs/audio_0044.wav|Why is he still alive? Another one of Darkwill's loose ends.
wavs/audio_0045.wav|'Beware ravens'? The words of a fool who knew nothing of demons.
wavs/audio_0046.wav|Your message is your power. You have learned nothing.
wavs/audio_0047.wav|I own birds cleverer than you.
wavs/audio_0048.wav|I am not smiling, I am threatening to smile. It is still a threat.
wavs/audio_0049.wav|I have to know who has a crush on whom.
wavs/audio_0050.wav|Which one of you isBeatriceagain?
wavs/audio_0051.wav|Their lives are the plunder.
wavs/audio_0052.wav|rivals
wavs/audio_0053.wav|Predictable, as always.
wavs/audio_0054.wav|We have civilized the beast.
wavs/audio_0055.wav|More than men must kneel to Noxus.
wavs/audio_0056.wav|Its strength is ours.
wavs/audio_0057.wav|Death comes to even the most fierce.
wavs/audio_0058.wav|I almost pity the brute.
wavs/audio_0059.wav|A savage roar, silenced.
wavs/audio_0060.wav|Congratulations. We've outsmarted a beast.
wavs/audio_0061.wav|You've exceeded my expectations.
wavs/audio_0062.wav|Perhaps a promotion is in order. How would you like your own warband?
wavs/audio_0063.wav|I owe you a debt. ...That is not as ominous as it sounds.
wavs/audio_0064.wav|The Leviathan belongs to me!
wavs/audio_0065.wav|One less enemy within.
wavs/audio_0066.wav|You were no longer useful.
wavs/audio_0067.wav|In death, you will kneel.
wavs/audio_0068.wav|This is not even my final form.
wavs/audio_0069.wav|Let us end the siege.
wavs/audio_0070.wav|One less place to hide.
wavs/audio_0071.wav|What Noxus takes, it will defend.
wavs/audio_0072.wav|Witness the strength of Noxus!
wavs/audio_0073.wav|Stone is not strength.
wavs/audio_0074.wav|More important than heroes, are deeds.
wavs/audio_0075.wav|Their defences crumble.
wavs/audio_0076.wav|Let them find hope in the rubble.
wavs/audio_0077.wav|Prepare, and victory is inevitable.
wavs/audio_0078.wav|A monument to our victory.
wavs/audio_0079.wav|Worth its weight in lives.
wavs/audio_0080.wav|All according to plan.
wavs/audio_0081.wav|That, is one way to surrender.
wavs/audio_0082.wav|The raven was a portent. Their time had come.
wavs/audio_0083.wav|Victory awaits.
wavs/audio_0084.wav|Another piece cleared from the board.
wavs/audio_0085.wav|Death is its own prophecy.
wavs/audio_0086.wav|The sooner we kill them all, the sooner we can leave these forsaken wastes.
