audio_file|text
wavs/audio_0001.wav|People fear what they cannot understand.
wavs/audio_0002.wav|Run, playthings.
wavs/audio_0003.wav|They are nothing to me.
wavs/audio_0004.wav|This is what I live for!
wavs/audio_0005.wav|Jealous fools.
wavs/audio_0006.wav|Such power!
wavs/audio_0007.wav|Imprisoned no longer!
wavs/audio_0008.wav|I will not be restrained.
wavs/audio_0009.wav|See? Absolute control.
wavs/audio_0010.wav|balance
wavs/audio_0011.wav|My potential is limitless!
wavs/audio_0012.wav|Easily.
wavs/audio_0013.wav|People fear what they cannot understand.
wavs/audio_0014.wav|Let them try to stop me.
wavs/audio_0015.wav|A whole world to toy with.
wavs/audio_0016.wav|This power ismineto command.
wavs/audio_0017.wav|More! I can be so much more!
wavs/audio_0018.wav|I am in control.
wavs/audio_0019.wav|I am untouchable.
wavs/audio_0020.wav|They won't even come close.
wavs/audio_0021.wav|Power without limit.
wavs/audio_0022.wav|Barriers exist to be broken.
wavs/audio_0023.wav|I will not be restrained.
wavs/audio_0024.wav|My potential is limitless!
wavs/audio_0025.wav|I will not hold back.
wavs/audio_0026.wav|I love to watch them fly.
wavs/audio_0027.wav|A legion couldn't stop me. What chance do you have?
wavs/audio_0028.wav|Immense power is fun! You should try it sometime.
wavs/audio_0029.wav|So much untapped power!
