audio_file|text
wavs/audio_0001.wav|Grounded?!
wavs/audio_0002.wav|Wow... you're tall.
wavs/audio_0003.wav|As before, we will stand against you.
wavs/audio_0004.wav|I looked for your kind at the ends of the earth.
wavs/audio_0005.wav|Your fire is nothing compared to the desert heat.
wavs/audio_0006.wav|My father always said I was a shepherd's nightmare.
wavs/audio_0007.wav|That looks like it hurt!
wavs/audio_0008.wav|The best defense is a strong foundation.
wavs/audio_0009.wav|My gift, my responsibility.
wavs/audio_0010.wav|Don't mess with a stoneweaver.
wavs/audio_0011.wav|Even rocks can be unpredictable.
wavs/audio_0012.wav|Alright, I've got this.
wavs/audio_0013.wav|Every rock tells a story. This one might be painful.
wavs/audio_0014.wav|How did I do that?
wavs/audio_0015.wav|Looks like you're stuck between me and a hard place.
wavs/audio_0016.wav|Stand back.
wavs/audio_0017.wav|I've given up too much to let you stop me.
wavs/audio_0018.wav|That was pretty much... amazing.
wavs/audio_0019.wav|It will take more than you to break me.
wavs/audio_0020.wav|I meant to do that... mostly.
wavs/audio_0021.wav|I am the stone beneath your feet.
wavs/audio_0022.wav|You underestimate me.
wavs/audio_0023.wav|I'll deal with it.
wavs/audio_0024.wav|Experience is the best teacher.
wavs/audio_0025.wav|Iamthe rock!
wavs/audio_0026.wav|How'sthisfor throwing stones?
wavs/audio_0027.wav|Looks like you've got a thing or two to learn yourself.
wavs/audio_0028.wav|Our paths have woven together for a reason.
wavs/audio_0029.wav|Either way, I'm going to learn something from this.
wavs/audio_0030.wav|Sometimes, learning hurts.
wavs/audio_0031.wav|Control, control, control...
wavs/audio_0032.wav|Okay, great, that is actually what I wanted to have happen. For once.
wavs/audio_0033.wav|You pulled the wrong thread.
wavs/audio_0034.wav|Mastery is a journey. Here's your first lesson.
wavs/audio_0035.wav|A rock in my hand is worth two in your face!
wavs/audio_0036.wav|Every lesson is a gift.
wavs/audio_0037.wav|Oh, good, just what I need.
wavs/audio_0038.wav|Courage is stronger than stone.
wavs/audio_0039.wav|I'm... kind of amazing.
wavs/audio_0040.wav|Like threading a needle.
wavs/audio_0041.wav|Beware falling rocks!
wavs/audio_0042.wav|So anyway... bam!
wavs/audio_0043.wav|One stone at a time.
wavs/audio_0044.wav|Leave no stone unturned.
wavs/audio_0045.wav|I'm still here.
wavs/audio_0046.wav|Maybe I'myourlesson.
wavs/audio_0047.wav|Time for a sigh of relief.
wavs/audio_0048.wav|Every girl needs a good pair of boots.
wavs/audio_0049.wav|Time to fight magic with more magic.
wavs/audio_0050.wav|Ooh, belts!
wavs/audio_0051.wav|Rocks should really come with an instruction manual.
wavs/audio_0052.wav|These boots were made for weaving.
wavs/audio_0053.wav|Huh, towers are stone too. Interesting.
wavs/audio_0054.wav|One more reason to keep moving.
wavs/audio_0055.wav|Time to go big or go home.
wavs/audio_0056.wav|Time to throw the book at them too.
wavs/audio_0057.wav|Some hats speak louder than words.
wavs/audio_0058.wav|Let's see what I can pull out of this hat.
wavs/audio_0059.wav|Diamonds Are A Girl's Best Friend
wavs/audio_0060.wav|The Great Weaver protects me.
wavs/audio_0061.wav|A little chaos should shake things up.
wavs/audio_0062.wav|Time to see the pattern in the weave.
wavs/audio_0063.wav|Clear vision brings hope.
wavs/audio_0064.wav|This should make the pattern easier to follow.
wavs/audio_0065.wav|A rock in the bush is worth five in the hand.
wavs/audio_0066.wav|That sand reminds me of home.
wavs/audio_0067.wav|Learning is always faster with the right tools.
wavs/audio_0068.wav|Better safe than sorry.
wavs/audio_0069.wav|Glad they had this in stock.
wavs/audio_0070.wav|Glad I could pick this up.
wavs/audio_0071.wav|Oh, great, I needed this.
wavs/audio_0072.wav|This should work.
wavs/audio_0073.wav|Never hurts to be prepared.
wavs/audio_0074.wav|Ooh, I need one of those.
wavs/audio_0075.wav|Never dismiss what's beneath your feet.
wavs/audio_0076.wav|Watch your step!
wavs/audio_0077.wav|Tread lightly.
wavs/audio_0078.wav|It's never good to run from your problems!
wavs/audio_0079.wav|Mind your footing!
wavs/audio_0080.wav|You're standing on shaky ground!
wavs/audio_0081.wav|Sounds like somebody needs a nap.
wavs/audio_0082.wav|Playtime is going to get a little rocky.
wavs/audio_0083.wav|You are out of your depth.
wavs/audio_0084.wav|Even the smallest stone can shake the heavens.
wavs/audio_0085.wav|Your servants will resist.
wavs/audio_0086.wav|There is no empire without the people.
wavs/audio_0087.wav|Better to build on stone than sand.
wavs/audio_0088.wav|Remember there is stone beneath your sand.
wavs/audio_0089.wav|Shouldn't you be home polishing your Sun Disc?
wavs/audio_0090.wav|Shurima will live on without you.
wavs/audio_0091.wav|You forget your people.
wavs/audio_0092.wav|We have prospered without you.
wavs/audio_0093.wav|Close to the ground, the sparrow flies faster than the falcon.
wavs/audio_0094.wav|This is how the desert repays thieves.
wavs/audio_0095.wav|You have poisoned your own heart.
wavs/audio_0096.wav|The sands have revealed your true form.
wavs/audio_0097.wav|Noxians... why did it have to be Noxians?
wavs/audio_0098.wav|Did the earth move for you too? Did I just say that out loud?
wavs/audio_0099.wav|Don't be silly. Scarecrows don't talk.
wavs/audio_0100.wav|Don't worry. I don't stay in one place for long.
wavs/audio_0101.wav|Another test?
wavs/audio_0102.wav|The mountains of Ionia taught me much.
wavs/audio_0103.wav|Let the training begin again.
wavs/audio_0104.wav|My learning continues.
wavs/audio_0105.wav|Beauty is no excuse for so much suffering.
wavs/audio_0106.wav|You're no artist, just a hired gun!
wavs/audio_0107.wav|Tell us what we need to stand against those creatures.
wavs/audio_0108.wav|Are Icathia's secrets truly the key?
wavs/audio_0109.wav|Life and death are two ends of the same thread.
wavs/audio_0110.wav|Sedimentary, my dear Malphite.
wavs/audio_0111.wav|I've crushed bigger rocks than you.
wavs/audio_0112.wav|Even rock gives under the right pressure.
wavs/audio_0113.wav|You have betrayed our people to chaos.
wavs/audio_0114.wav|The stone of Shurima will stand against those creatures.
wavs/audio_0115.wav|Worry is a heavier burden than stone.
wavs/audio_0116.wav|Even the most barren desert blooms in time.
wavs/audio_0117.wav|Do not give up before the journey is finished.
wavs/audio_0118.wav|Our future is not yet off the loom.
wavs/audio_0119.wav|We will not trade the yoke of one empire for another.
wavs/audio_0120.wav|The promises of Noxus are nothing but lies.
wavs/audio_0121.wav|You are nothing but plunderers and poachers.
wavs/audio_0122.wav|The earth will rip itself apart before it falls to Noxus.
wavs/audio_0123.wav|Noxus promised learning, but delivered only bloodshed.
wavs/audio_0124.wav|I will take no part in your war machine.
wavs/audio_0125.wav|You sure you're alright?
wavs/audio_0126.wav|You sure you're okay?
wavs/audio_0127.wav|You breed chaos like a rabidRalsiji!
