audio_file|text
wavs/audio_0001.wav|Pathetic!
wavs/audio_0002.wav|This blade's my favorite.
wavs/audio_0003.wav|Enjoy the taste of steel.
wavs/audio_0004.wav|Their bones will whet my blade.
wavs/audio_0005.wav|Another body for the gutter.
wavs/audio_0006.wav|This is no challenge.
wavs/audio_0007.wav|Ugh, I lost another blade. I wonder who it's in this time.
wavs/audio_0008.wav|The worst part of losing a blade is trying to trace back all my stabbings.
wavs/audio_0009.wav|They won't survive.
wavs/audio_0010.wav|Only fools pledge life to honor.
wavs/audio_0011.wav|On the razor's edge.
wavs/audio_0012.wav|I never compromise.
wavs/audio_0013.wav|Don't cross me.
wavs/audio_0014.wav|There's nowhere to hide.
wavs/audio_0015.wav|Your allegiances mean nothing to me.
wavs/audio_0016.wav|Let's finish this quickly.
wavs/audio_0017.wav|Eventually, my blades will find their way into your heart.
wavs/audio_0018.wav|Have you anything to offer but weakness?
wavs/audio_0019.wav|Live and die by the blade.
