audio_file|text
wavs/audio_0001.wav|Awh, scout life isn't for everyone I guess...
wavs/audio_0002.wav|Always happy to lend a hand!
wavs/audio_0003.wav|That's my 'Assist a Friend' badge!
wavs/audio_0004.wav|Another win forteamwork!
wavs/audio_0005.wav|I still need my 'Defeat a Void Monster' badge!
wavs/audio_0006.wav|Rule #79: Keep your hands and feet outside thebaron pitat all times.
wavs/audio_0007.wav|Gotcha!
wavs/audio_0008.wav|Didn't see that comin', did ya?
wavs/audio_0009.wav|Direct hit!
wavs/audio_0010.wav|Stay vigilant!
wavs/audio_0011.wav|Easy target.
wavs/audio_0012.wav|On target!
wavs/audio_0013.wav|Hehe...
wavs/audio_0014.wav|Stay hydrated!
wavs/audio_0015.wav|Watch your head!
wavs/audio_0016.wav|Take aim and...
wavs/audio_0017.wav|Pow!
wavs/audio_0018.wav|Come on!
wavs/audio_0019.wav|Oh... Whoops...
wavs/audio_0020.wav|Back toBandle... City...
wavs/audio_0021.wav|The scout spirit... lives on...
wavs/audio_0022.wav|How's the weather up there, Corki?
wavs/audio_0023.wav|A puppy! Aww, who wants a treat? I've got Bandle scout biscuits...!
wavs/audio_0024.wav|Aquatic yordle sighting: throws fish?! Details to follow.
wavs/audio_0025.wav|Whoa, what kind of yordle areyou?
wavs/audio_0026.wav|Hey, Kennen, if I train you in the scout code, can you train me at the ways of the Kinkou?
wavs/audio_0027.wav|Hello, Mr. High Major Commodore of the First Legion Third Multiplication Double Admiral Artillery Vanguard Company Sir!
wavs/audio_0028.wav|Oh hey, Lulu. Are you andPixplaying out here? Oh-- can I join in?
wavs/audio_0029.wav|Whoa, i-is thatthePoppy? I've never seen a hero up close before!
wavs/audio_0030.wav|How's the mech, Rumble? Did you fix the random exploding yet?
wavs/audio_0031.wav|I promise I haven't gotten intoanymore trouble, Tristana...! At least, not yet.
wavs/audio_0032.wav|Veigar, stop being evil–it's not nice!
wavs/audio_0033.wav|Hey Vex, let's turn that frown uuupside down!
wavs/audio_0034.wav|You look like my pet Fluffy! ...He was a soul-devouring sea worm.
wavs/audio_0035.wav|Another yordle! Hiiii!
wavs/audio_0036.wav|You look like you could use some help!
wavs/audio_0037.wav|Are you in need of assistance?
wavs/audio_0038.wav|Oh. Hello, new friend!
wavs/audio_0039.wav|Bandle scout troop leader Teemo at your service!
wavs/audio_0040.wav|Ohh! Hahaha, that's a good one!!
wavs/audio_0041.wav|Rule #419: Care for your equipment, and it will care for you.
wavs/audio_0042.wav|Always handle weapons responsib-- oh, ha... whoops!
wavs/audio_0043.wav|Gotta come down sometime, Corki.
wavs/audio_0044.wav|Bad doggie! NO!
wavs/audio_0045.wav|Be proactive: that's Bandle scout rule #91!
wavs/audio_0046.wav|Scout journal update: throwing fish, confirmed!
wavs/audio_0047.wav|Aww, he was just a cranky little guy.
wavs/audio_0048.wav|OW! I-I think I still have static in my fur...
wavs/audio_0049.wav|I'll give you a twenty-one-dart–salute, Sir!
wavs/audio_0050.wav|I WIN!! Good game, Lulu, well played.
wavs/audio_0051.wav|Like the Bandle scout handbook says: 'Leave the forest cleaner than you found it.'
wavs/audio_0052.wav|Even heroes gotta take a break; huh, Poppy?
wavs/audio_0053.wav|Did anyone else hear that? No...? Okay!
wavs/audio_0054.wav|Sounds like someone found one of my mushrooms!
wavs/audio_0055.wav|Whoopsie-daisy.
wavs/audio_0056.wav|Oops. Did I do that?
wavs/audio_0057.wav|Was that too much?
wavs/audio_0058.wav|Whoa, you've got an eject button! Is that a new feature, Rumble?
wavs/audio_0059.wav|Please don't be mad, Tristana... I-it wasn't personal! Scout's honor!!
wavs/audio_0060.wav|No more shooting, Mr. Turret!
wavs/audio_0061.wav|Eh, I'll clean that up later.
wavs/audio_0062.wav|Muuuuch better!
wavs/audio_0063.wav|Maybe you'll be less evil after a nap, Veigar.
wavs/audio_0064.wav|You would be a perfect Bandle scout, Vex!
wavs/audio_0065.wav|Yeah... I had to let Fluffy go, too...
wavs/audio_0066.wav|See you back inBandle City!
wavs/audio_0067.wav|You'rereallysleepy, huh?
wavs/audio_0068.wav|Uhh... A-are you okay?
wavs/audio_0069.wav|Let's play again sometime!
wavs/audio_0070.wav|It's okay, you'll become a scout someday!
wavs/audio_0071.wav|Awww, all tuckered out...!
wavs/audio_0072.wav|Phew! I should take a break soon, too! Hehh.
wavs/audio_0073.wav|My work here is done!
wavs/audio_0074.wav|Thatwas fun!
wavs/audio_0075.wav|One more badge for me!
wavs/audio_0076.wav|A Bandle scout always strives for excellence!
wavs/audio_0077.wav|Alright, let's throw 'em aBandle Citybash!
wavs/audio_0078.wav|Goggles: check. Hat: check. Mushrooms: check. Okay, armed and ready!
wavs/audio_0079.wav|Scout rule #212: You gotta team up to fight for what's right!
wavs/audio_0080.wav|Hello scouts, I'll be your troop leader for today. Let's have fun!
wavs/audio_0081.wav|Hear that? The world is saying: 'Hello Teemo!' (giggles) Hello world!
wavs/audio_0082.wav|I love the smell of mushrooms in the morning!
wavs/audio_0083.wav|The world issobig–there's always something to explore!
wavs/audio_0084.wav|If you're not ready for everything, you're not ready for anything!
wavs/audio_0085.wav|I pledge to uphold the Bandle scout way and serve yordlekind each and every day.
wavs/audio_0086.wav|Yordles are never alone. Every river is our friend; every pebble, our bestest buddy!
wavs/audio_0087.wav|'Bandle scout' isn't just a title–it's way of life!
wavs/audio_0088.wav|Never underestimate the power of the Scout Code!
wavs/audio_0089.wav|Rule #13: Treat every day like it's an adventure!
wavs/audio_0090.wav|Sound-off, one, two; sound-off, three, four!
wavs/audio_0091.wav|The sounds of nature.
wavs/audio_0092.wav|Hello, trees! Hello, rock! Hello, grass!
wavs/audio_0093.wav|Nothing like a good walk!
wavs/audio_0094.wav|Allroads lead toBandle City.
wavs/audio_0095.wav|If there's trouble, I'm there!
wavs/audio_0096.wav|Where did I put my goggles... Oh, ha, wait–they're on my head!
wavs/audio_0097.wav|I love the great outdoors!
wavs/audio_0098.wav|Rule #154: Never fear the unknown!
wavs/audio_0099.wav|Strangers are just friends you haven't met yet.
wavs/audio_0100.wav|Hup, two, three, four!
wavs/audio_0101.wav|There'salwaysmore world to see.
wavs/audio_0102.wav|I've got a good feeling about today!
wavs/audio_0103.wav|A Bandle scout is a friend to all!
wavs/audio_0104.wav|A Bandle scout is always prepared!
wavs/audio_0105.wav|I'll scout ahead!
wavs/audio_0106.wav|Scout and observe...
wavs/audio_0107.wav|Another day out in the field!
wavs/audio_0108.wav|Here I am!
wavs/audio_0109.wav|Did you miss me?
wavs/audio_0110.wav|Surprise!!
wavs/audio_0111.wav|Gotta stay quiet...
wavs/audio_0112.wav|I love camping.
wavs/audio_0113.wav|Shhhush...!
wavs/audio_0114.wav|Don't be suspicious...
wavs/audio_0115.wav|They don't see anything...!
wavs/audio_0116.wav|Right in the blinkers!
wavs/audio_0117.wav|Got somethin' on your face!
wavs/audio_0118.wav|Hehe!
wavs/audio_0119.wav|Whoo!
wavs/audio_0120.wav|They really should slow down.
wavs/audio_0121.wav|That's why scouts stay vigilant!
wavs/audio_0122.wav|That's gotta sting.
wavs/audio_0123.wav|Walked right into that one!
wavs/audio_0124.wav|Thosepuffcapssure are somethin'!
wavs/audio_0125.wav|Iiiits mushroom time! I love mushroom time.
wavs/audio_0126.wav|Hyah!
wavs/audio_0127.wav|Watch your step...!
wavs/audio_0128.wav|Here's a mushroom with your name on it.
wavs/audio_0129.wav|Gonna leave this riiight here.
wavs/audio_0130.wav|I'm a 'fun guy'!
wavs/audio_0131.wav|Everything is better with mushrooms!
wavs/audio_0132.wav|Whooo!
wavs/audio_0133.wav|Every adventurer should know when to rest.
wavs/audio_0134.wav|Ooh–be right back! I forgot my emergency marshmallows!
wavs/audio_0135.wav|Gotta go consult the handbook...
wavs/audio_0136.wav|Sometimes, it's good to retrace your steps!
wavs/audio_0137.wav|Scout rule #151: Every yordle looooves a portal!
wavs/audio_0138.wav|Like rule #92 says: You can't help others, if you don't help yourself first.
wavs/audio_0139.wav|No matter how impossible the mission: I won't give up!
wavs/audio_0140.wav|Just another chance to show thetenacityof the Bandle scout spirit!
wavs/audio_0141.wav|Scout journal entry: Had a... 'mushroom-related' incident. Returning to the field–now.
wavs/audio_0142.wav|What a story–I gotta write that one down!
wavs/audio_0143.wav|That was tough–but I'm tough too!
wavs/audio_0144.wav|Hello, shopkeep. What's the latest?
wavs/audio_0145.wav|With this purchase, I'll get my 'Responsible Consumer' badge!
wavs/audio_0146.wav|Have you considered carrying Bandle-scout biscuits? We have over 100 flavors!
wavs/audio_0147.wav|Scout journal update: my new friends don't understand... 'hello'.
wavs/audio_0148.wav|Hey there!
wavs/audio_0149.wav|Hiii!!
wavs/audio_0150.wav|How's it goin'?
wavs/audio_0151.wav|Helllooo!
wavs/audio_0152.wav|Pick up the pace!
wavs/audio_0153.wav|Gotta run!
wavs/audio_0154.wav|Swiftly!
wavs/audio_0155.wav|Bandle scout Teemo reporting for duty!
