audio_file|text
wavs/audio_0001.wav|Let me get in there!
wavs/audio_0002.wav|Show 'em what you can do!
wavs/audio_0003.wav|Justtryto get between us!
wavs/audio_0004.wav|Light a fire under 'em.
wavs/audio_0005.wav|Who wants to lose some eyebrows?
wavs/audio_0006.wav|He likes his food well done.
wavs/audio_0007.wav|Well, you made him angry!
wavs/audio_0008.wav|Riggle says hi.
wavs/audio_0009.wav|Don't mind us!
wavs/audio_0010.wav|You're looking mighty flammable right now.
wavs/audio_0011.wav|Save it for the bad guys!
wavs/audio_0012.wav|This is no time for molting!
wavs/audio_0013.wav|Hold on to your harness!
wavs/audio_0014.wav|I could stop him... but I won't.
wavs/audio_0015.wav|Roast 'em!
wavs/audio_0016.wav|Beware of dragon.
wavs/audio_0017.wav|Wanna see a fireball?
wavs/audio_0018.wav|The fire means he likes you.
wavs/audio_0019.wav|Let's have some fun.
wavs/audio_0020.wav|This is a dragon-'hello'!
wavs/audio_0021.wav|Fire solves most problems.
wavs/audio_0022.wav|Dragons are just cheating.
wavs/audio_0023.wav|He views flame-retardant as a challenge!
wavs/audio_0024.wav|Uh... don't lick this.
wavs/audio_0025.wav|Just what you need, a taste for blood...
wavs/audio_0026.wav|We'll see if they can hurt us now!
wavs/audio_0027.wav|It's not that I think we're gonna die or anything...
wavs/audio_0028.wav|This'll look out for both of us.
wavs/audio_0029.wav|Yep, I feel a bit safer too.
wavs/audio_0030.wav|Don't mess withthisdragon.
wavs/audio_0031.wav|I think you're gonna like this.
wavs/audio_0032.wav|Is it just me or did you get scarier?
wavs/audio_0033.wav|Fire beats armor.
wavs/audio_0034.wav|Last Whis- Yeah, good, good whisper.
wavs/audio_0035.wav|No such thing as 'dragon-resistant'!
wavs/audio_0036.wav|Good luck controllingthisdragon...!
wavs/audio_0037.wav|Like you weren't squirmy enough already.
wavs/audio_0038.wav|Don't worry, I'll keep you out of trouble!
wavs/audio_0039.wav|I'll bet you like this cape, don't ya?
wavs/audio_0040.wav|Finally, clothing that'ssupposedto burn!
wavs/audio_0041.wav|...Riggle-approved!
wavs/audio_0042.wav|Burn!
wavs/audio_0043.wav|Need some fire?
wavs/audio_0044.wav|Get that one!
wavs/audio_0045.wav|Smoke 'em out!
wavs/audio_0046.wav|Isn't fire just the best?
wavs/audio_0047.wav|Pretty coolbear! Have you seen my dragon?
wavs/audio_0048.wav|Extra crispy, coming right up!
wavs/audio_0049.wav|Oh, look! Chicken flambé!
wavs/audio_0050.wav|Uh... Have you and Riggle already met?
wavs/audio_0051.wav|How about a little fire, scarecrow?
wavs/audio_0052.wav|Cool eagle! What does it breathe, air?
wavs/audio_0053.wav|Who's got the flamespitter now?
wavs/audio_0054.wav|We make a pretty great pair, don't we, Rumble? Just me, and this dragon.
wavs/audio_0055.wav|Yep, her name's Shyvana... I think she's confused.
wavs/audio_0056.wav|Trick? Roll over! ...Eeeevery time.
wavs/audio_0057.wav|Ready? Aim! ...Not at me!
wavs/audio_0058.wav|Riggle! Speak! Close enough.
wavs/audio_0059.wav|Ready? Play dead! Good...
wavs/audio_0060.wav|He doesn't like towers.
wavs/audio_0061.wav|Demolition dragon!
wavs/audio_0062.wav|Take it down, Riggle!
wavs/audio_0063.wav|Get cooked.
wavs/audio_0064.wav|That was fast.
wavs/audio_0065.wav|Ouch.
wavs/audio_0066.wav|I was never worried!
wavs/audio_0067.wav|You weretotallyscared.
wavs/audio_0068.wav|Just how much bigger are you gonna get?
wavs/audio_0069.wav|He's just going through a phase! ...I think.
wavs/audio_0070.wav|Who's a good Riggle? That's right, you are.
wavs/audio_0071.wav|Be good, and I'll let you burn down a building or two.
wavs/audio_0072.wav|I've got adragonand I'm not afraid to use him!
wavs/audio_0073.wav|Ouch! Watch the horns... and the teeth- and the tail!
wavs/audio_0074.wav|Not the biggest dragon—but the best!
wavs/audio_0075.wav|Aw, look at your little arms!
wavs/audio_0076.wav|You need a bath...
wavs/audio_0077.wav|When you get bigger, you're carrying me.
wavs/audio_0078.wav|Arealldragons this heavy?
wavs/audio_0079.wav|We aresostarting obedience training.
wavs/audio_0080.wav|Is there anything youdon'teat?
wavs/audio_0081.wav|Keep dreaming, buddy.
wavs/audio_0082.wav|Hey! No chewing on me.
wavs/audio_0083.wav|Someone's on their best behavior!
wavs/audio_0084.wav|Did you get into the sugar again?!
wavs/audio_0085.wav|I broke you out of that egg and I can stuff you back in!
wavs/audio_0086.wav|I'll scratch your tummy later!
wavs/audio_0087.wav|When do dragons start flying?
wavs/audio_0088.wav|I know, I'm going...
wavs/audio_0089.wav|We'll eat later, stop pouting.
wavs/audio_0090.wav|This is so not the time!
wavs/audio_0091.wav|You really are a handful...
wavs/audio_0092.wav|We're in this together, Riggle.
