audio_file|text
wavs/audio_0001.wav|Pathetic!
wavs/audio_0002.wav|They crossed the wrong troll.
wavs/audio_0003.wav|This will only hurt... a lot!
wavs/audio_0004.wav|Woops! Did I break something?
wavs/audio_0005.wav|I'll show them frostbite.
wavs/audio_0006.wav|Smashing!
wavs/audio_0007.wav|C'mon, entertain me.
wavs/audio_0008.wav|They're ruining my good mood!
wavs/audio_0009.wav|You can never bash something too many times.
wavs/audio_0010.wav|Tonight, I'm feeling greedy.
wavs/audio_0011.wav|I'm gonna knock 'em dead.
wavs/audio_0012.wav|Nobody trespasses in my town.
wavs/audio_0013.wav|But I... Troll king...
wavs/audio_0014.wav|Troll with the biggest club gets to be king. That's the rule!
wavs/audio_0015.wav|It's alright Clubbems, we'll get to smashing soon.
wavs/audio_0016.wav|Have you seen this thing? Like really close.
wavs/audio_0017.wav|I'm troll judge, troll jury, and execu... troll!
wavs/audio_0018.wav|The Freljord is mine!
wavs/audio_0019.wav|King of trolls, coming through.
wavs/audio_0020.wav|I'm the troll with the plan.
wavs/audio_0021.wav|Not troll chief, troll king. King!
wavs/audio_0022.wav|Time to start an ice age.
wavs/audio_0023.wav|I'm not ugly, but they're about to be!
wavs/audio_0024.wav|Ohoho, they look angry!
wavs/audio_0025.wav|The Ents are going to war.
wavs/audio_0026.wav|I like my human with a bit of spice.
wavs/audio_0027.wav|Run, Ashe!
wavs/audio_0028.wav|Trollmacia!
wavs/audio_0029.wav|The Hobbit
wavs/audio_0030.wav|Squeal!
wavs/audio_0031.wav|C'mere, princess.
wavs/audio_0032.wav|Whiny cub!
wavs/audio_0033.wav|Shrivel!
wavs/audio_0034.wav|Bow down!
wavs/audio_0035.wav|If you want me to hit you less, die sooner!
wavs/audio_0036.wav|I'm gonna crush your dreams... They're in your skull, right?
wavs/audio_0037.wav|You got a problem with me? Join the club!
wavs/audio_0038.wav|This is troll town!
wavs/audio_0039.wav|You're in MY kingdom now!
wavs/audio_0040.wav|Time to troll!
