audio_file|text
wavs/audio_0001.wav|As you wish.
wavs/audio_0002.wav|Rivers of blood.
wavs/audio_0003.wav|Claim them all.
wavs/audio_0004.wav|No control! No... mercy.
wavs/audio_0005.wav|The thirst consumes me!
wavs/audio_0006.wav|Devour their souls.
wavs/audio_0007.wav|Slaughter! Massacre...
wavs/audio_0008.wav|They will serve us.
wavs/audio_0009.wav|This new look... is really growing on me.
wavs/audio_0010.wav|You really don't want to get on my bad side.
wavs/audio_0011.wav|No salvation.
wavs/audio_0012.wav|There is no going back.
wavs/audio_0013.wav|Soon all will join me.
wavs/audio_0014.wav|Must... go.
wavs/audio_0015.wav|All will be consumed.
wavs/audio_0016.wav|Find fresh souls. Quickly.
wavs/audio_0017.wav|I am your worst nightmare!
wavs/audio_0018.wav|We are one now.
wavs/audio_0019.wav|The power... is undeniable.
wavs/audio_0020.wav|Who will be next?!
wavs/audio_0021.wav|Yours will be a small sacrifice.
wavs/audio_0022.wav|My blade calls, you will answer!
wavs/audio_0023.wav|Follow my blade!
wavs/audio_0024.wav|I am your worst nightmare!
wavs/audio_0025.wav|This'll be a slaughter.
wavs/audio_0026.wav|Into battle.
wavs/audio_0027.wav|As you wish.
wavs/audio_0028.wav|Now they die!
wavs/audio_0029.wav|My right arm is a lot stronger than my left arm!
wavs/audio_0030.wav|Into battle.
wavs/audio_0031.wav|This'll be a slaughter.
wavs/audio_0032.wav|Follow my blade!
wavs/audio_0033.wav|As you wish.
wavs/audio_0034.wav|You never stood a chance.
wavs/audio_0035.wav|This'll be a slaughter.
