audio_file|text
wavs/audio_0001.wav|I reckon.
wavs/audio_0002.wav|Looks like trouble.
wavs/audio_0003.wav|Nobody touches the hat.
wavs/audio_0004.wav|Pick a card.
wavs/audio_0005.wav|I got this.
wavs/audio_0006.wav|Giddy up! Hmhmhm... haha! Haa.. haha!
wavs/audio_0007.wav|Ándale, hehehehehe... ma-haha! Whoop! Haha!
wavs/audio_0008.wav|Cheater's just a fancy word for winner.
wavs/audio_0009.wav|Never lost a fair game... or played one.
wavs/audio_0010.wav|I reckon.
wavs/audio_0011.wav|Charmed, I'm sure.
wavs/audio_0012.wav|Lookin' good.
wavs/audio_0013.wav|Doin' it.
wavs/audio_0014.wav|It's my lucky day.
wavs/audio_0015.wav|Deal 'em.
wavs/audio_0016.wav|Just the luck of the draw.
wavs/audio_0017.wav|Don't mind if I do.
wavs/audio_0018.wav|It's all in the cards.
wavs/audio_0019.wav|Always on the run.
wavs/audio_0020.wav|I'm already gone.
wavs/audio_0021.wav|I'm gone.
wavs/audio_0022.wav|Gotta hit the trail.
wavs/audio_0023.wav|It ain't luck, it's destiny.
wavs/audio_0024.wav|No fightin' destiny.
wavs/audio_0025.wav|Nothin' better than a fool playin' tough.
wavs/audio_0026.wav|Clear as day.
wavs/audio_0027.wav|Feelin' blue.
wavs/audio_0028.wav|Eyes open.
wavs/audio_0029.wav|Lucky them.
wavs/audio_0030.wav|Hold it, partner.
wavs/audio_0031.wav|Shinin' gold.
wavs/audio_0032.wav|Dead in his tracks.
wavs/audio_0033.wav|Tough luck, Malcolm.
wavs/audio_0034.wav|Simmer down, hotshot.
wavs/audio_0035.wav|Thorned rose.
wavs/audio_0036.wav|Blood red.
wavs/audio_0037.wav|Seein' red.
wavs/audio_0038.wav|Lady Luck is smilin'.
