audio_file|text
wavs/audio_0001.wav|Gutless.
wavs/audio_0002.wav|Abomination! I lay you to rest with no regret.
wavs/audio_0003.wav|This... thing has no spirit. It is empty.
wavs/audio_0004.wav|The spirits of dragons burn and roar long after they die.
wavs/audio_0005.wav|This cavern is not your home, dragon. Why defend it?
wavs/audio_0006.wav|Ribbit.
wavs/audio_0007.wav|Alone, proud, feeling... hoppy?
wavs/audio_0008.wav|This form... her prison.
wavs/audio_0009.wav|Let me help you, Rift Herald.
wavs/audio_0010.wav|I will put your gift to good use, protector.
wavs/audio_0011.wav|Your protective nature shines through you, spirit.
wavs/audio_0012.wav|I...We... live and die together as unshakable stone.
wavs/audio_0013.wav|Stone-bodied, but with a living heart inside.
wavs/audio_0014.wav|Hunger, gnawing, wild, wolven!
wavs/audio_0015.wav|We smell blood on the air. A feast awaits!
wavs/audio_0016.wav|Mother raptor, forgive my trespass.
wavs/audio_0017.wav|I feelherneed to protect the nest.
wavs/audio_0018.wav|I am sorry for what I must do, Scuttler.
wavs/audio_0019.wav|Scuttlers are such gentle souls.
wavs/audio_0020.wav|Bare your teeth.
wavs/audio_0021.wav|Try meditating.
wavs/audio_0022.wav|Silence your mind.
wavs/audio_0023.wav|Novice!
wavs/audio_0024.wav|No one survives life.
wavs/audio_0025.wav|Struggle!
wavs/audio_0026.wav|Pain brings focus.
wavs/audio_0027.wav|Walk with me.
wavs/audio_0028.wav|Strength of spirit!
wavs/audio_0029.wav|I sense your fear.
wavs/audio_0030.wav|Fist of Hirana!
wavs/audio_0031.wav|Lightning strike!
wavs/audio_0032.wav|Stain my claws!
wavs/audio_0033.wav|Iron jab.
wavs/audio_0034.wav|I stand my ground.
wavs/audio_0035.wav|Lock horns with me!
wavs/audio_0036.wav|Molten flow!
wavs/audio_0037.wav|My rage runs cold.
wavs/audio_0038.wav|Frozen fury.
wavs/audio_0039.wav|Silence... at last...
wavs/audio_0040.wav|The frost... is melting...
wavs/audio_0041.wav|Blazing charge!
wavs/audio_0042.wav|Awaken, ram!
wavs/audio_0043.wav|Challenge me!
wavs/audio_0044.wav|You cannot escape our inferno!
wavs/audio_0045.wav|Ram spirit!
wavs/audio_0046.wav|You cannot outrun me!
wavs/audio_0047.wav|Speed!
wavs/audio_0048.wav|You cannot stay above it all, great Frostbringer. If the Freljord dies, it won't rise again.
wavs/audio_0049.wav|The Freljord would die in your hands, Ashe, broken beyond repair.
wavs/audio_0050.wav|Thousands of spirits, screaming... silenced... warped! What are you?!
wavs/audio_0051.wav|I have missed you, Lee. Let our spirits meld, let us spar.
wavs/audio_0052.wav|Ice Witch, you are a blight on the Freljord! I will be its cure.
wavs/audio_0053.wav|Weapons are often the tools of cowards, great forger.
wavs/audio_0054.wav|Sejuani, do not make me your enemy. Please!
wavs/audio_0055.wav|Arrgh! Stay out of my mind, Thousand-Pierced Bear!
wavs/audio_0056.wav|Greetings are a waste of time.
wavs/audio_0057.wav|I choose this fight.
wavs/audio_0058.wav|Our fight will keep the Freljord alive.
wavs/audio_0059.wav|Your hunger for battle is too weak to overcome me.
wavs/audio_0060.wav|I am not good with people.
wavs/audio_0061.wav|We will both grow from this.
wavs/audio_0062.wav|I should not have left my pelt at home.
wavs/audio_0063.wav|With your death, Ashe, the True Ice will not melt.
wavs/audio_0064.wav|A great beast has been felled... without proper rites.
wavs/audio_0065.wav|I venerate my kills. My enemies, they revel in theirs.
wavs/audio_0066.wav|Thank you for refusing to strengthen my enemies!
wavs/audio_0067.wav|My most worthy and most beloved opponent.
wavs/audio_0068.wav|No peace for the Freljord!
wavs/audio_0069.wav|Forgive me, Kalkia, I swore to protect your Sejuani, I...
wavs/audio_0070.wav|I close my mind to you, great Valhir!
wavs/audio_0071.wav|Fallow Fox keep you.
wavs/audio_0072.wav|To take life... I do not do it lightly.
wavs/audio_0073.wav|Your struggles are ended.
wavs/audio_0074.wav|Balance is not always fair. I am... sorry.
wavs/audio_0075.wav|A moment of silence.
wavs/audio_0076.wav|The circle continues, unbroken, unwavering.
