audio_file|text
wavs/audio_0001.wav|If you can't beat them, join them
wavs/audio_0002.wav|Frank Herbert's
wavs/audio_0003.wav|Cling to hope... It is all you have.
wavs/audio_0004.wav|I am Zaun's reckoning!
wavs/audio_0005.wav|Hahaha... Is that crying I hear? Or are you mewling?
wavs/audio_0006.wav|No more hope.
wavs/audio_0007.wav|Chaos will set you free.
wavs/audio_0008.wav|All must be tested.
wavs/audio_0009.wav|The barons are not your masters—fear is.
wavs/audio_0010.wav|This pain is a gift.
wavs/audio_0011.wav|You listen to my words, while myweaponsspeak!
wavs/audio_0012.wav|I am not your enemy.
wavs/audio_0013.wav|Feel this. The pain will prove useful later.
wavs/audio_0014.wav|Zaun, bear witness.
wavs/audio_0015.wav|Break men to break their shackles.
wavs/audio_0016.wav|Your cries will give voice to chaos.
wavs/audio_0017.wav|The fortunate will be the first to fall.
wavs/audio_0018.wav|Existence is torment.
wavs/audio_0019.wav|Embrace your fear.
wavs/audio_0020.wav|Iamthe weapon.
wavs/audio_0021.wav|You will thank me, between the screams.
wavs/audio_0022.wav|What didn't kill me, will kill you!
wavs/audio_0023.wav|Steel isstronger.
wavs/audio_0024.wav|You have already lost.
wavs/audio_0025.wav|A crucible of pain!
wavs/audio_0026.wav|You cannot rule what I have turned to ash!
wavs/audio_0027.wav|Life favors the strong.
wavs/audio_0028.wav|The suffering is only beginning.
wavs/audio_0029.wav|Another slave to pain.
wavs/audio_0030.wav|I offer redemption.
wavs/audio_0031.wav|What will you do to survive?TELL ME!
wavs/audio_0032.wav|They put me in chains. They gave me my weapon.
wavs/audio_0033.wav|Death will end your agony.
wavs/audio_0034.wav|You will know fear.
wavs/audio_0035.wav|Pain will not betray you.
wavs/audio_0036.wav|You will fall so far.
wavs/audio_0037.wav|I will lay your weakness bare.
wavs/audio_0038.wav|Do not fight it. Shh...
wavs/audio_0039.wav|Do you think me so weak as to fall for your charms?
wavs/audio_0040.wav|My, my. What have they been up to in Piltover?
wavs/audio_0041.wav|I must admit, I have a thing for... legs.
wavs/audio_0042.wav|The hand of Noxus can be cut off; ask yourmaster.
wavs/audio_0043.wav|A pale imitation.
wavs/audio_0044.wav|My replacement? Really, now?
wavs/audio_0045.wav|This one... has potential.
wavs/audio_0046.wav|The child is learning.
wavs/audio_0047.wav|If you feed on pain, I welcome you to the feast.
wavs/audio_0048.wav|Give me a reason to fear you.
wavs/audio_0049.wav|You defeated Noxus. For that, I will make this quick.
wavs/audio_0050.wav|I heard you like to give hugs.
wavs/audio_0051.wav|The city calls for chaos. She is but the first to answer.
wavs/audio_0052.wav|I hope your father begged when Swain betrayed him.
wavs/audio_0053.wav|Where do your loyalties lie? I will bury you next to them.
wavs/audio_0054.wav|This is not your land, and that lizard doesn't even like you.
wavs/audio_0055.wav|Noxus is lost.
wavs/audio_0056.wav|Piltover is a parasite.
wavs/audio_0057.wav|Let the rage carry you... into my chains.
wavs/audio_0058.wav|You respect strength. Good. Then you understand.
wavs/audio_0059.wav|Noxus failed you... when it did not punish your betrayal!
wavs/audio_0060.wav|Caught between two worlds? I'll drag you out of both.
wavs/audio_0061.wav|You've felt my pain. Now feel yours.
wavs/audio_0062.wav|I will not kneel to a deceiver.
wavs/audio_0063.wav|Your coat isn't even as nice as mine.
wavs/audio_0064.wav|Compared to what you do, this is merciful.
wavs/audio_0065.wav|Don't be greedy, there's enough pain for all of us.
wavs/audio_0066.wav|Beneath those gloves... you are broken.
wavs/audio_0067.wav|The only thing you enforce is limitations.
wavs/audio_0068.wav|You can die beside them, but you will never be a Demacian.
wavs/audio_0069.wav|You were made to be a weapon. Embrace it.
wavs/audio_0070.wav|This... is going to be messy.
wavs/audio_0071.wav|There is always another trial.
wavs/audio_0072.wav|Think of all that you have survived.
wavs/audio_0073.wav|Zaun welcomed me with open arms... and a knife to my back.
wavs/audio_0074.wav|But I still have so much to kill for.
wavs/audio_0075.wav|What exactly have I been killing...?
wavs/audio_0076.wav|Hold on... There's something... Ahhh, that's better.
wavs/audio_0077.wav|I was stronger.
wavs/audio_0078.wav|Are none of you worthy?!
wavs/audio_0079.wav|A pathetic display.
