audio_file|text
wavs/audio_0001.wav|Impure fools.
wavs/audio_0002.wav|I release them from their pain.
wavs/audio_0003.wav|I bring swift death.
wavs/audio_0004.wav|I pass judgment.
wavs/audio_0005.wav|Cleansing blood with silver.
wavs/audio_0006.wav|They will be purified.
wavs/audio_0007.wav|Joke? What do you mean?
wavs/audio_0008.wav|I have no time for nonsense.
wavs/audio_0009.wav|Purge with silver.
wavs/audio_0010.wav|Silver of the moon.
wavs/audio_0011.wav|The purifying element.
wavs/audio_0012.wav|I smell black magics.
wavs/audio_0013.wav|Evil lurks around every corner.
wavs/audio_0014.wav|In the dark, all is laid bare.
wavs/audio_0015.wav|The shadows are to be feared.
wavs/audio_0016.wav|The dark should fear me.
wavs/audio_0017.wav|I hear the innocent cry out.
wavs/audio_0018.wav|Beware.
wavs/audio_0019.wav|Impure fools...
wavs/audio_0020.wav|Time for reckoning...
wavs/audio_0021.wav|ἀνερρίφθω κύβος
wavs/audio_0022.wav|Hitting me is like boxing with shadows!
wavs/audio_0023.wav|Let us hunt those who have fallen to darkness.
