audio_file|text
wavs/audio_0001.wav|Your commands tire me.
wavs/audio_0002.wav|I can see the fear in your heart.
wavs/audio_0003.wav|Give up now!
wavs/audio_0004.wav|I will swallow your soul!
wavs/audio_0005.wav|Even death trembles in my presence.
wavs/audio_0006.wav|Your soul will come to serveme.
wavs/audio_0007.wav|Iamevil! Stop laughing!
wavs/audio_0008.wav|I will swallow your soul!
wavs/audio_0009.wav|What's black and blue and is about to show you the definition of pain?!
wavs/audio_0010.wav|Suffering awaits.
wavs/audio_0011.wav|'It's only a short way'? Is that a short joke?!
wavs/audio_0012.wav|I smell death.
wavs/audio_0013.wav|Yes! (Laughs)
wavs/audio_0014.wav|Your commands tire me.
wavs/audio_0015.wav|Stalking prey again?
wavs/audio_0016.wav|The magic, it calls to me!
wavs/audio_0017.wav|You deny the darkness in your soul! You deny your power!
wavs/audio_0018.wav|Know that if the tables were turned, I would show you no mercy!
