audio_file|text
wavs/audio_0001.wav|That's unexpected.
wavs/audio_0002.wav|Ah, another entity of value.
wavs/audio_0003.wav|Hmm. This is a fragile species.
wavs/audio_0004.wav|Their appendages seem redundant.
wavs/audio_0005.wav|Tears appear to serve no function.
wavs/audio_0006.wav|These creatures really can be repulsive.
wavs/audio_0007.wav|Are no organs safely removable?
wavs/audio_0008.wav|They possess a variety of internal 'aromas'...
wavs/audio_0009.wav|I find their elbows obscene.
wavs/audio_0010.wav|I acknowledge your pain.
wavs/audio_0011.wav|I must know more...
wavs/audio_0012.wav|Creature appears to seek its maternal unit.
wavs/audio_0013.wav|When bisected, neither half grows back...
wavs/audio_0014.wav|I require a closer look.
wavs/audio_0015.wav|Flailing appears to be a universal response.
wavs/audio_0016.wav|Intriguing reaction to pain...
wavs/audio_0017.wav|You may experience mild... incineration.
wavs/audio_0018.wav|What secrets areyouhiding?
wavs/audio_0019.wav|Thank you for your... contribution.
wavs/audio_0020.wav|Bones are surprisingly inflexible.
wavs/audio_0021.wav|Their skins appear non-transferable.
wavs/audio_0022.wav|Have they ceased to evolve?
wavs/audio_0023.wav|Vel'Koz suffocates and shrieks.
wavs/audio_0024.wav|Vel'Koz suffocates and shrieks.
wavs/audio_0025.wav|Vel'Koz suffocates and shrieks.
wavs/audio_0026.wav|Vel'Koz suffocates and shrieks.
wavs/audio_0027.wav|Vel'Koz hums triumphantly.
wavs/audio_0028.wav|Replicating lifeform entertainment routine!
wavs/audio_0029.wav|Research requires good tentacle-eye coordination.
wavs/audio_0030.wav|Vel'Koz chuckles then guffaws to himself madly.
wavs/audio_0031.wav|Vel'Koz chuckles then guffaws to himself madly.
wavs/audio_0032.wav|Vel'Koz chuckles then guffaws to himself madly.
wavs/audio_0033.wav|Vel'Koz guffaws to himself madly.
wavs/audio_0034.wav|My presence causes them... distress.
wavs/audio_0035.wav|A land rich with information...
wavs/audio_0036.wav|Humans; simple, messy—yet, exceptional.
wavs/audio_0037.wav|There is much to learn about this world.
wavs/audio_0038.wav|Odd creatures of blood and flesh.
wavs/audio_0039.wav|I miss the darkness of the Void.
wavs/audio_0040.wav|That's unexpected.
wavs/audio_0041.wav|Ah, the Void. I miss the darkness.
wavs/audio_0042.wav|Genders are more easily discerned by the pitch of their cries.
wavs/audio_0043.wav|Endoskeletal... quite peculiar.
wavs/audio_0044.wav|Human melting point remains... inconsistent.
wavs/audio_0045.wav|What else can I discover?
wavs/audio_0046.wav|The light here is harsh.
wavs/audio_0047.wav|To date, none have survived preliminary testing.
wavs/audio_0048.wav|High concentration of subjects... wonderful.
wavs/audio_0049.wav|Hmm... extraordinary.
wavs/audio_0050.wav|Such fascinating evolution.
wavs/audio_0051.wav|The pattern is clear.
wavs/audio_0052.wav|Creature's mewling increases during dissection.
wavs/audio_0053.wav|Let's see... (mumbles) yes,infinitymore samples required!
wavs/audio_0054.wav|It seems your chances of survival are...lessthan zero!
wavs/audio_0055.wav|Knowledge through... disintegration.
