audio_file|text
wavs/audio_0001.wav|'Kay. See if I care.
wavs/audio_0002.wav|Who cares?
wavs/audio_0003.wav|Life is pain.
wavs/audio_0004.wav|You're the worst.
wavs/audio_0005.wav|Pow.
wavs/audio_0006.wav|Ugh. People.
wavs/audio_0007.wav|So what're we doin'?
wavs/audio_0008.wav|That's close enough.
wavs/audio_0009.wav|Who are you again?
wavs/audio_0010.wav|Whatever.
wavs/audio_0011.wav|Are you smiling?
wavs/audio_0012.wav|Efforrrt...
wavs/audio_0013.wav|What?!
wavs/audio_0014.wav|'Sup.
wavs/audio_0015.wav|Have some misery!
wavs/audio_0016.wav|You should frown more.
wavs/audio_0017.wav|D'ugh! Personal space, people!
wavs/audio_0018.wav|Don't talk to me.
wavs/audio_0019.wav|Ugh, do we have to?
wavs/audio_0020.wav|Can we just not?
wavs/audio_0021.wav|Die... or something.
wavs/audio_0022.wav|Despair.
wavs/audio_0023.wav|You don't understand me!
wavs/audio_0024.wav|Back. Off!
wavs/audio_0025.wav|Sigh!
wavs/audio_0026.wav|I'm danciiiiing. Happy?
wavs/audio_0027.wav|Owwww...
wavs/audio_0028.wav|So what?
wavs/audio_0029.wav|Good for... you.
wavs/audio_0030.wav|Whoaaa... cool...
wavs/audio_0031.wav|You're sadanddead? We should hang out.
wavs/audio_0032.wav|No doctors. I already told you, being sad makes me happy.
wavs/audio_0033.wav|Ah, you had me at death lost me at singing.
wavs/audio_0034.wav|Two guns? Could you try any harder?
wavs/audio_0035.wav|Oh, no. Happinessandrainbows? I'm gonna barf twice.
wavs/audio_0036.wav|'Oh, look at me. I'm a sentinel saving the world from darkness.'
wavs/audio_0037.wav|'Sup, ghost. We hanging later? Cool.
wavs/audio_0038.wav|Saw you're human now, Thresh. Never thought you'd be the one to go normie.
wavs/audio_0039.wav|Hey, Veigar? You're at a ten. I need you to take it down to like... a two.
wavs/audio_0040.wav|You know what, Viego? I liked your earlier stuff better.
wavs/audio_0041.wav|I don't have to listen to you, Viego. You're not my real dad.
wavs/audio_0042.wav|Ugh, Yasuo... I can already tell we are not gonna vibe.
wavs/audio_0043.wav|Just keep walkin', yordle. I got nothin' to say to you.
wavs/audio_0044.wav|I'm not really a cat person. I'm more of a... nothing person.
wavs/audio_0045.wav|So you're the reason I have to be here today?
wavs/audio_0046.wav|Let's make this easy. I'll wait here and you go die.
wavs/audio_0047.wav|Just give up. I did.
wavs/audio_0048.wav|We're all doomed, but you're more doomed.
wavs/audio_0049.wav|Another person to kill. Shadow, can you handle it?
wavs/audio_0050.wav|Life sucks... but at least I'm not you.
wavs/audio_0051.wav|You'd like Bandle City. It sucks too.
wavs/audio_0052.wav|Ahh, Viego... is okay. I mean, he's whatever... I guess.
wavs/audio_0053.wav|Don't care. Don't care. Don't care.
wavs/audio_0054.wav|Cool.
wavs/audio_0055.wav|Que foda! Digo... Tanto faz...
wavs/audio_0056.wav|Well, that happened.
wavs/audio_0057.wav|One less person to deal with.
wavs/audio_0058.wav|Way to die, normie.
wavs/audio_0059.wav|You're lucky. Being a ghost is so cool.
wavs/audio_0060.wav|See ya never.
wavs/audio_0061.wav|You look better this way.
wavs/audio_0062.wav|That's whatcha get for tryin'.
wavs/audio_0063.wav|That's better.
wavs/audio_0064.wav|Ha.
wavs/audio_0065.wav|And then I told her, 'Get outta my room!' And she said, 'This is my house, young lady and'... Oh, hang on, Shadow. I'll finish this later.
wavs/audio_0066.wav|Blegh, just got here: already over it.
wavs/audio_0067.wav|Other people are here? Ugggh, great.
wavs/audio_0068.wav|This is going to be... awful, in a very good way. A good, awful way. You know what I mean!
wavs/audio_0069.wav|Hmm. What color should I wear today? Black? Or charcoal?
wavs/audio_0070.wav|Before I met the Black Mist, I lived in a world of color and happiness. I was so lost.
wavs/audio_0071.wav|Welcome to Sad Town. Population: Me. Everyone else get out.
wavs/audio_0072.wav|Ugghhh, this is gonna take foreverrr. Why is everything so far?
wavs/audio_0073.wav|Okay, Shadow. Wake me when we hit something.
wavs/audio_0074.wav|I could start a club for people who hate people! Ehh, but no one would show up.
wavs/audio_0075.wav|I am not cute. I am dark and forlorn and hopelessly morbid!
wavs/audio_0076.wav|Why do I even wake up in the morning? Oh, right. To make people miserable.
wavs/audio_0077.wav|I wouldn't say I ran away from home. More like... trudged. Yeeeah, trudged.
