audio_file|text
wavs/audio_0001.wav|If I want your opinion, I'll beat it out of you.
wavs/audio_0002.wav|Yeah! Teamwork!
wavs/audio_0003.wav|High five, cupcake!
wavs/audio_0004.wav|Boom! Headshot.
wavs/audio_0005.wav|Come on! Resist arrest already!
wavs/audio_0006.wav|Vi, hah, stands for violence!
wavs/audio_0007.wav|Vi stands for vicious.
wavs/audio_0008.wav|Put a dent in 'em!
wavs/audio_0009.wav|A little smash and grab.
wavs/audio_0010.wav|Here comes the punchline!
wavs/audio_0011.wav|Freeze! Or don't, I don't care.
wavs/audio_0012.wav|One girl wrecking crew.
wavs/audio_0013.wav|Vi stands for vice.
wavs/audio_0014.wav|Oh, look at me... I'm on the case.
wavs/audio_0015.wav|Care for a spot of tea? Or maybe a spot ofpunch in the face.
wavs/audio_0016.wav|We can either do this the hard way or... oh wait, no, there's just the hard way.
wavs/audio_0017.wav|Hmm, I like your smile. Gives me something to aim at.
wavs/audio_0018.wav|I like your smile. Makes a nice target.
wavs/audio_0019.wav|Welcome to the party. Try thepunch.
wavs/audio_0020.wav|Why can't I get a straight answer? It's always just 'Oh no! Stop hitting me! Ow, my face!'
wavs/audio_0021.wav|I'm doing thismyway.
wavs/audio_0022.wav|They'll never know what hit 'em.
wavs/audio_0023.wav|Plan? I don't need a plan.
wavs/audio_0024.wav|I let my hands do the talking.
wavs/audio_0025.wav|Piltover's finest.
wavs/audio_0026.wav|Let's get crackin'.
wavs/audio_0027.wav|Who needs a beatdown?
wavs/audio_0028.wav|Sometimes you gottamakea door.
wavs/audio_0029.wav|I'm my own backup.
wavs/audio_0030.wav|Let's get to the fun part!
wavs/audio_0031.wav|If you hit a wall, hit it hard!
wavs/audio_0032.wav|Hey, Jayce! Power slam!
wavs/audio_0033.wav|Nice shot, cupcake.
wavs/audio_0034.wav|Aww, was that supposed to hurt, Cait?
wavs/audio_0035.wav|I like you as far as I can throw you... not even.
wavs/audio_0036.wav|I've got five reasons for you to shut up.
wavs/audio_0037.wav|If I want your opinion, I'll beat it out of you.
wavs/audio_0038.wav|Punch first. Ask questions while punching.
