audio_file|text
wavs/audio_0001.wav|My heart was already broken.
wavs/audio_0002.wav|Fall beneath my blade!
wavs/audio_0003.wav|Deny me no longer!
wavs/audio_0004.wav|Why do you fight?!
wavs/audio_0005.wav|I am inevitable.
wavs/audio_0006.wav|Ruin to all!
wavs/audio_0007.wav|All shall know my pain.
wavs/audio_0008.wav|Stand aside, churl!
wavs/audio_0009.wav|This is my decree!
wavs/audio_0010.wav|The mist beckons!
wavs/audio_0011.wav|I will break your heart.
wavs/audio_0012.wav|You face the ruined king.
wavs/audio_0013.wav|Be one with the mist.
wavs/audio_0014.wav|Serve me in death.
wavs/audio_0015.wav|I must have her back!
wavs/audio_0016.wav|Peasant!
wavs/audio_0017.wav|Bring her back!
wavs/audio_0018.wav|Return her to me!
wavs/audio_0019.wav|You dare face a king?!
wavs/audio_0020.wav|Love is my weapon!
wavs/audio_0021.wav|She would want this!
wavs/audio_0022.wav|You would stop me?
wavs/audio_0023.wav|Tell me where she is!
wavs/audio_0024.wav|Be brought to ruin.
wavs/audio_0025.wav|My love! My love!
wavs/audio_0026.wav|Where is she?!
wavs/audio_0027.wav|You stole her from me!
wavs/audio_0028.wav|Die for her!
wavs/audio_0029.wav|Anything for her.
wavs/audio_0030.wav|Lowborn filth.
wavs/audio_0031.wav|The mist devours all!
wavs/audio_0032.wav|Isolde... why?
wavs/audio_0033.wav|My heart beckons!
wavs/audio_0034.wav|Grant me passage!
wavs/audio_0035.wav|Flow from me!
wavs/audio_0036.wav|Spill forth!
wavs/audio_0037.wav|Find her!
wavs/audio_0038.wav|Forward, mist!
wavs/audio_0039.wav|Consume everything!
wavs/audio_0040.wav|Ur-demon. When all life ends, you will return to your slumber.
wavs/audio_0041.wav|For all your ambition, Hecarim, this is what you are reduced to.
wavs/audio_0042.wav|Your god could not stop me before, sea priestess. Do not challenge me again.
wavs/audio_0043.wav|You will never have your vengeance, Kalista. Never.
wavs/audio_0044.wav|Sing, Karthus. Sing of all that must be lost and she who must be found.
wavs/audio_0045.wav|Answer for your crimes, death. Answer me.
wavs/audio_0046.wav|Go on then, tree. Defeat me if you can. It will never restore the isles.
wavs/audio_0047.wav|Awake, O lord, woulds’t thou reject us forever? Why do you hide your face and forget us?
wavs/audio_0048.wav|Your treachery does not surprise me, Thresh. Only that you believed you'd win.
wavs/audio_0049.wav|Hello, uncle. I'm surprised you haven't been torn apart by an angry mob.
wavs/audio_0050.wav|Ah, the monk from the waters. And... someone else. Isolde?
wavs/audio_0051.wav|Humor was better a thousand years ago.
wavs/audio_0052.wav|Sorry, went down the wrong pipe.
wavs/audio_0053.wav|Mist, get out of my lungs, I command you.
wavs/audio_0054.wav|I demand this!
wavs/audio_0055.wav|Give me your heart!
wavs/audio_0056.wav|No power in this world can stop me!
wavs/audio_0057.wav|You will serve!
wavs/audio_0058.wav|Kill them! Kill them all!
wavs/audio_0059.wav|This body is mine!
wavs/audio_0060.wav|Surrender yourself!
wavs/audio_0061.wav|Now, do as I say! Forward!
wavs/audio_0062.wav|This body, is this what you desire?!
wavs/audio_0063.wav|In death as in life, Hecarim. You will fight only for me.
wavs/audio_0064.wav|You never believed in my rule, Kalista, and now, this is your fate.
wavs/audio_0065.wav|Arise, death, and greet the king who conquered you back!
wavs/audio_0066.wav|All this carnage. Do you see?! I do it for you!
wavs/audio_0067.wav|Isolde... I could not see myself in your eyes.
