audio_file|text
wavs/audio_0001.wav|Humanity can be so much more.
wavs/audio_0002.wav|Their bodies are frail.
wavs/audio_0003.wav|Adapt, or be removed.
wavs/audio_0004.wav|Relinquish the flesh.
wavs/audio_0005.wav|Inferior constructs.
wavs/audio_0006.wav|They are obsolete.
wavs/audio_0007.wav|Destroy... then improve!
wavs/audio_0008.wav|Listen close- urgh, I have important- urgh! This is why I can't take you nice places!
wavs/audio_0009.wav|The key to the, uhh... huh? That is the, uhh... what? Urgh! Keep your hand to yourself!
wavs/audio_0010.wav|Pave the way.
wavs/audio_0011.wav|All will soon change.
wavs/audio_0012.wav|Embrace progress.
wavs/audio_0013.wav|Metal is perfection.
wavs/audio_0014.wav|Analyzing approach.
wavs/audio_0015.wav|I am the first of many.
wavs/audio_0016.wav|Submit to my designs.
wavs/audio_0017.wav|With utmost efficiency.
wavs/audio_0018.wav|Function over form.
wavs/audio_0019.wav|Behold!
wavs/audio_0020.wav|Consume!
wavs/audio_0021.wav|Obliterate!
wavs/audio_0022.wav|True power!
wavs/audio_0023.wav|Steel can fix all your flaws.
wavs/audio_0024.wav|My opponents need to be upgraded.
wavs/audio_0025.wav|The Hexcore can adapt to any power. Even yours.
wavs/audio_0026.wav|For perfection.
wavs/audio_0027.wav|Forget fear.
wavs/audio_0028.wav|Incognizant soul.
wavs/audio_0029.wav|Embrace evolution.
wavs/audio_0030.wav|Change is inexorable.
wavs/audio_0031.wav|Conflict is but a distraction.
wavs/audio_0032.wav|You betray your future.
wavs/audio_0033.wav|Renounce emotion.
wavs/audio_0034.wav|Prepare your mind.
wavs/audio_0035.wav|Unite.
wavs/audio_0036.wav|Understand. Become.
wavs/audio_0037.wav|A discordant mind.
wavs/audio_0038.wav|No more division.
wavs/audio_0039.wav|How wasteful.
wavs/audio_0040.wav|Escape your imperfections.
wavs/audio_0041.wav|Amalgamate.
wavs/audio_0042.wav|My purpose...
wavs/audio_0043.wav|No progress... no liberation.
wavs/audio_0044.wav|No progress... no liberation.
wavs/audio_0045.wav|My purpose...
wavs/audio_0046.wav|Remove emotion.
wavs/audio_0047.wav|Adapt.
wavs/audio_0048.wav|End sentimentality.
wavs/audio_0049.wav|Adapt.
wavs/audio_0050.wav|End sentimentality.
wavs/audio_0051.wav|Remove emotion.
wavs/audio_0052.wav|I'm certainNoxussees the strength in my mission, Ambessa.
wavs/audio_0053.wav|I see you have evolved all on your own, Blitzcrank.
wavs/audio_0054.wav|Professor. Have you come to renounce your anti-Hexcore dogma?
wavs/audio_0055.wav|Neither friendship nor love will stop what is necessary, Jayce.
wavs/audio_0056.wav|Mel, as one embraced by the Arcane, you now know the true value of Hextech.
wavs/audio_0057.wav|We've surpassed our feeble forms, Orianna. May the rest follow our lead.
wavs/audio_0058.wav|It's not too late for humanity, doctor. I have the power to treat what ails them.
wavs/audio_0059.wav|It is Hextech that holds the answers to your questions.
wavs/audio_0060.wav|I sense... trepidation. But one cannot grow if left unchallenged.
wavs/audio_0061.wav|Calamity thwarts hesitation. So which are you?
wavs/audio_0062.wav|All will be clear once I open your mind.
wavs/audio_0063.wav|You challenge the inevitable.
wavs/audio_0064.wav|I offer no choice, for there is none.
wavs/audio_0065.wav|Stop. Stop. Stop that! It tickles...
wavs/audio_0066.wav|Humor... a frivolous ornament.
wavs/audio_0067.wav|Humor... a frivolous ornament.
wavs/audio_0068.wav|It tickles
wavs/audio_0069.wav|That you broke our alliance is unsurprising, Ambessa. Such are the winds of sentiment.
wavs/audio_0070.wav|That you broke our alliance is unsurprising, Ambessa. Such are the winds of sentiment.
wavs/audio_0071.wav|I have observed that a creation will always reject its creator.
wavs/audio_0072.wav|I do what I must for our future.
wavs/audio_0073.wav|I do what I must for our future.
wavs/audio_0074.wav|You would have us remain insulated in our ignorance, professor.
wavs/audio_0075.wav|You would have us remain insulated in our ignorance, professor.
wavs/audio_0076.wav|We could have ushered in a new era together, Jayce.
wavs/audio_0077.wav|We could have ushered in a new era together, Jayce.
wavs/audio_0078.wav|Though we became enemies, Mel, your support will never be forgotten.
wavs/audio_0079.wav|Though we became enemies, Mel, your support will never be forgotten.
wavs/audio_0080.wav|It seems perfection is still fallible, Orianna. I must think on this.
wavs/audio_0081.wav|It seems perfection is still fallible, Orianna. I must think on this.
wavs/audio_0082.wav|I am only the beginning.
wavs/audio_0083.wav|I am only the beginning.
wavs/audio_0084.wav|Share in my vision!
wavs/audio_0085.wav|The Arcane reaches all!
wavs/audio_0086.wav|All will know Hextech!
wavs/audio_0087.wav|Share in my vision!
wavs/audio_0088.wav|All will know Hextech!
wavs/audio_0089.wav|The Arcane reaches all!
wavs/audio_0090.wav|As a child, I dreamt of becoming you, Singed. How foolish I was.
wavs/audio_0091.wav|I used to enjoy such trinkets.
wavs/audio_0092.wav|Humanity's toys.
wavs/audio_0093.wav|Hextech endures!
wavs/audio_0094.wav|Your people failed you,Vander.
wavs/audio_0095.wav|Your people failed you,Vander.
wavs/audio_0096.wav|How unnecessary.
wavs/audio_0097.wav|You submitted to your baser instincts.
wavs/audio_0098.wav|You lack the perspective to know your own destruction.
wavs/audio_0099.wav|Annihilation over reason.
wavs/audio_0100.wav|Unrealized to the end.
