audio_file|text
wavs/audio_0001.wav|I'm absolutely livid.
wavs/audio_0002.wav|Deliciously vain.
wavs/audio_0003.wav|A draining exercise.
wavs/audio_0004.wav|I love a warrior with heart, never a stale moment.
wavs/audio_0005.wav|I'd love a pint.
wavs/audio_0006.wav|Hmm, something is leaking.
wavs/audio_0007.wav|I've got you under my skin.
wavs/audio_0008.wav|Trickling progress.
wavs/audio_0009.wav|Please, let it all out.
wavs/audio_0010.wav|A harvest moon, so aptly named.
wavs/audio_0011.wav|Let's pool our efforts.
wavs/audio_0012.wav|I'm absolutely livid.
wavs/audio_0013.wav|A vital decision.
wavs/audio_0014.wav|Wonderful.
wavs/audio_0015.wav|You look like someone who's got a lot going on beneath the surface.
wavs/audio_0016.wav|The rivers will run red.
