audio_file|text
wavs/audio_0001.wav|You have the heart of a weakling.
wavs/audio_0002.wav|So frail.
wavs/audio_0003.wav|Skulls, spines, always crunch.
wavs/audio_0004.wav|Your gods fear me!
wavs/audio_0005.wav|Break them open!
wavs/audio_0006.wav|Truth lurks in a warm-blood's guts.
wavs/audio_0007.wav|Tremble at my roar!
wavs/audio_0008.wav|Your shrines will fall!
wavs/audio_0009.wav|Nothing but meat.
wavs/audio_0010.wav|Torn to bone!
wavs/audio_0011.wav|You cannot tame lightning.
wavs/audio_0012.wav|I roar, you bow.
wavs/audio_0013.wav|Storm devour you!
wavs/audio_0014.wav|I am Valhir.
wavs/audio_0015.wav|Rolling thunder.
wavs/audio_0016.wav|Vol dusk skaar!
wavs/audio_0017.wav|You cannot kill a storm.
wavs/audio_0018.wav|I will not be forgotten!
wavs/audio_0019.wav|Blood, hahahaha, always tastes the same.
wavs/audio_0020.wav|I run. I tear!
wavs/audio_0021.wav|You mean to kill me?
wavs/audio_0022.wav|Vol kau fera!
wavs/audio_0023.wav|Ever-winter take you.
wavs/audio_0024.wav|Weakling!
wavs/audio_0025.wav|Bleed, offering!
wavs/audio_0026.wav|Born... in war... I fall... in war.
wavs/audio_0027.wav|I...! Do... not... die...
wavs/audio_0028.wav|Storm unleashed!
wavs/audio_0029.wav|All will crumble!
wavs/audio_0030.wav|Sister. How long can you endure the ice burning in your heart?
wavs/audio_0031.wav|My sister. Together, we would harness a storm to consume the Freljord!
wavs/audio_0032.wav|Your war-mothers do not know true war, Ashe.
wavs/audio_0033.wav|I knew Avarosa, Ashe. Just as foolish as you.
wavs/audio_0034.wav|The heart is strong, Braum. And tastiest after battle.
wavs/audio_0035.wav|Braum. You have the lip fur of a lowly cub. Half of it is milk!
wavs/audio_0036.wav|Play at rage, warm-blood. I will taste the fear quivering in your guts.
wavs/audio_0037.wav|You have no power here, young witch.
wavs/audio_0038.wav|The heart of a child is untamed. Violent in its hope... cruel in its despair...
wavs/audio_0039.wav|Boy! ...And beast.
wavs/audio_0040.wav|You've gone soft, brother. Too much cake.
wavs/audio_0041.wav|You emerge from your mountain cave, brother. Let us end this.
wavs/audio_0042.wav|Ornn. You once denied me your weapons. Now, I no longer need them.
wavs/audio_0043.wav|Brother. You have lost your strongest weapons. They wither, and decay...
wavs/audio_0044.wav|Rengar! I heard of your hunt. And I heard of your failure.
wavs/audio_0045.wav|Tell me, Rengar. Do your trophies make you stronger, or do they weigh you down?
wavs/audio_0046.wav|Bristle! Why do you bow to this weak-willed warm-blood?
wavs/audio_0047.wav|Hmm. You think you can be savage, Tryndamere?
wavs/audio_0048.wav|What a-what is that? A cub?
wavs/audio_0049.wav|Do you have something against bears, old man?
wavs/audio_0050.wav|Your gods are cowards!
wavs/audio_0051.wav|You? Such a feeble sacrifice.
wavs/audio_0052.wav|Your towers will splinter like rotten teeth!
wavs/audio_0053.wav|I was uprooting towns when your elders were crawling.
wavs/audio_0054.wav|The first river was a river of blood! What has my brother been telling you?
wavs/audio_0055.wav|Live for a few centuries and you will try everything at least once.
wavs/audio_0056.wav|It is better than staring at dirt.
wavs/audio_0057.wav|My sister. May you return on swift wings.
wavs/audio_0058.wav|Your lies feed the soil.
wavs/audio_0059.wav|Another coward dies.
wavs/audio_0060.wav|Ornn's blood on my claws. Surely, there was a reason... Surely, this is just...
wavs/audio_0061.wav|Oh, brother... Your forge is empty and cold.
