audio_file|text
wavs/audio_0001.wav|Who questions my ability?
wavs/audio_0002.wav|Is that all they've got?
wavs/audio_0003.wav|Been waiting for this.
wavs/audio_0004.wav|I got this.
wavs/audio_0005.wav|Just try to stop me.
wavs/audio_0006.wav|Wuju style.
wavs/audio_0007.wav|Put me to the test!
wavs/audio_0008.wav|I bet I can hit their base from here!
wavs/audio_0009.wav|No matter how far it is to the top, it'sstillwithin my grasp!
wavs/audio_0010.wav|Every mistake is a lesson.
wavs/audio_0011.wav|Who questions my ability?
wavs/audio_0012.wav|Never settle for second.
wavs/audio_0013.wav|My journey's only beginning.
wavs/audio_0014.wav|You got it!
wavs/audio_0015.wav|My place is at the top.
wavs/audio_0016.wav|Adapt to all situations.
wavs/audio_0017.wav|Bring me a real challenge.
wavs/audio_0018.wav|Improve your skills! Then find me again.
wavs/audio_0019.wav|I will be the best.
