audio_file|text
wavs/audio_0001.wav|Fine, I'll just be over here… sharpening my feathers.
wavs/audio_0002.wav|All out of second chances. Sorry.
wavs/audio_0003.wav|My last nerve is long gone.
wavs/audio_0004.wav|Dance like your life depends on it.
wavs/audio_0005.wav|Hmm, what shall I cut off?
wavs/audio_0006.wav|Baasi kommu yu-teha.
wavs/audio_0007.wav|Keep up!
wavs/audio_0008.wav|Threading the needle.
wavs/audio_0009.wav|I leave nasty scars.
wavs/audio_0010.wav|Okay, so we're doing this.
wavs/audio_0011.wav|A thousand cuts is only the beginning.
wavs/audio_0012.wav|This is how I deal with unwanted attention.
wavs/audio_0013.wav|This was our world first.
wavs/audio_0014.wav|A dance with me ends in blood.
wavs/audio_0015.wav|This is a preemptive 'No'.
wavs/audio_0016.wav|Listening. Such a simple concept.
wavs/audio_0017.wav|Dance.
wavs/audio_0018.wav|Yay, someone to throw knives at.
wavs/audio_0019.wav|Hear. My. Words!
wavs/audio_0020.wav|I don't speak compromise.
wavs/audio_0021.wav|Quit crying! It's just a feather.
wavs/audio_0022.wav|It's only a little prick.
wavs/audio_0023.wav|Ever been stabbed by a feather?
wavs/audio_0024.wav|My feathers are priceless.
wavs/audio_0025.wav|Move your feet, or lose some toes.
wavs/audio_0026.wav|Violence is my favorite form of negotiation.
wavs/audio_0027.wav|Cut by a feather? So delicate.
wavs/audio_0028.wav|Sul alesh!
wavs/audio_0029.wav|A Vastayan feather is a kingly gift.
wavs/audio_0030.wav|When I dance, I lead.
wavs/audio_0031.wav|Compromise. It's a pain.
wavs/audio_0032.wav|They make chaos dance.
wavs/audio_0033.wav|Call me cute again.
wavs/audio_0034.wav|I always find a weak spot.
wavs/audio_0035.wav|What the heck? I deserve it.
wavs/audio_0036.wav|This is overpriced, but I must have it.
wavs/audio_0037.wav|Hook me up with that magical creature discount?
wavs/audio_0038.wav|Do I really need this? Ah… yes.
wavs/audio_0039.wav|Is this ethically sourced?
wavs/audio_0040.wav|I want to buy all the things!
wavs/audio_0041.wav|I know I'm being price gouged, but I'll splurge.
wavs/audio_0042.wav|Where did you get all these wonderful things?
wavs/audio_0043.wav|But how much does it cost for me?
wavs/audio_0044.wav|I am totally pulling this off.
wavs/audio_0045.wav|Play it safe!
wavs/audio_0046.wav|You okay?
wavs/audio_0047.wav|With what?
wavs/audio_0048.wav|Honey, what are you doing?
wavs/audio_0049.wav|A nice dinner?
wavs/audio_0050.wav|That's not what—
wavs/audio_0051.wav|Do you remember the plan?
wavs/audio_0052.wav|Really? What is it?
wavs/audio_0053.wav|Yeah, so?
wavs/audio_0054.wav|Show them the dance.
wavs/audio_0055.wav|I'm a little busy!
wavs/audio_0056.wav|Baby, what did I tell you?
wavs/audio_0057.wav|Close enough.
wavs/audio_0058.wav|Yeah, gross.
wavs/audio_0059.wav|I saw you. Everyone can see you.
wavs/audio_0060.wav|You want to start it off?
wavs/audio_0061.wav|Really, darling?
wavs/audio_0062.wav|Now's not the time, darling.
wavs/audio_0063.wav|Hi.
wavs/audio_0064.wav|Are you?
wavs/audio_0065.wav|Until we are free. Until magic is free.
wavs/audio_0066.wav|Do you remember our escape route?
wavs/audio_0067.wav|I'll take that as a no.
wavs/audio_0068.wav|We'll still be alive!
wavs/audio_0069.wav|Woo, shake those tail feathers, baby!
