audio_file|text
wavs/audio_0001.wav|You seek Ascension, you will find failure.
wavs/audio_0002.wav|I am power incarnate! Who dares oppose me?
wavs/audio_0003.wav|I will never concede the power I have taken!
wavs/audio_0004.wav|Who believes they have the strength to ascend?
wavs/audio_0005.wav|My will is law!
wavs/audio_0006.wav|You stand in the presence of a perfect being!
wavs/audio_0007.wav|True Ascension is granted only to the worthy!
wavs/audio_0008.wav|I will not be subverted!
wavs/audio_0009.wav|Only ten of you? How disappointing.
wavs/audio_0010.wav|Ascension is not granted, it is taken!
wavs/audio_0011.wav|Nobody puts Xerath in a sarcophagus, nobody!
wavs/audio_0012.wav|With Ascension,comes killer moves!
wavs/audio_0013.wav|Trapped for centuries, but I've still got it!
wavs/audio_0014.wav|It's electric!
wavs/audio_0015.wav|I've waited a millenium for this!
wavs/audio_0016.wav|Simple fools.
wavs/audio_0017.wav|LARPing Lightning Bolt!
wavs/audio_0018.wav|I will unmake you.
wavs/audio_0019.wav|Simple fools.
wavs/audio_0020.wav|Primitive magic shall not best me.
wavs/audio_0021.wav|Your demise beckons.
wavs/audio_0022.wav|Behold my power.
wavs/audio_0023.wav|Flesh and blood; so fragile.
wavs/audio_0024.wav|Magic? I'll show you real magic.
wavs/audio_0025.wav|My will is law!
wavs/audio_0026.wav|I will not be subverted!
wavs/audio_0027.wav|Nobody puts Xerath in a sarcophagus, nobody!
wavs/audio_0028.wav|With Ascension,comes killer moves!
wavs/audio_0029.wav|Trapped for centuries, but I've still got it!
wavs/audio_0030.wav|I've waited a millennium for this!
wavs/audio_0031.wav|Azir, at long last, we will see what power you truly possess.
wavs/audio_0032.wav|Azir, the boy destined to chase the sun.
wavs/audio_0033.wav|This time, Azir, I will need no surprise to topple you!
wavs/audio_0034.wav|You are emperor of a wasteland, Azir.
wavs/audio_0035.wav|Nasus... thank you for yourbrother.
wavs/audio_0036.wav|Nasus, the loyal pup, ever nipping at my heels.
wavs/audio_0037.wav|You chase power, Syndra. I am power!
wavs/audio_0038.wav|Those chains cannot hold me either, jailor.
wavs/audio_0039.wav|LARPing Lightning Bolt!
wavs/audio_0040.wav|Phenomenal Cosmic powers: itty bitty living space
wavs/audio_0041.wav|True Ascension is granted only to the worthy!
wavs/audio_0042.wav|I will allow nothing to stand in my way.
wavs/audio_0043.wav|Behold, my power is unmatched!
wavs/audio_0044.wav|Renekton, show them your hatred!
wavs/audio_0045.wav|It is our time, crocodile. Make them suffer!
wavs/audio_0046.wav|Today, I will be free!
wavs/audio_0047.wav|The world may crumble, but I shall remain.
wavs/audio_0048.wav|I am eternal.
wavs/audio_0049.wav|You cannot fathom what I am.
wavs/audio_0050.wav|I see the forces that hold the universe together.
wavs/audio_0051.wav|I stand at the brink of infinity.
wavs/audio_0052.wav|I am the will of man, unbound by flesh.
wavs/audio_0053.wav|None will control me.
wavs/audio_0054.wav|I am power incarnate! Who dares oppose me?
wavs/audio_0055.wav|The world forgot me. Now, they will remember!
wavs/audio_0056.wav|I will be their undoing.
wavs/audio_0057.wav|These chains cannot hold me.
wavs/audio_0058.wav|Emotions are only distractions.
wavs/audio_0059.wav|The affairs of mortals are beneath me.
wavs/audio_0060.wav|The secrets of magic are mine alone.
wavs/audio_0061.wav|I follow the path to power.
wavs/audio_0062.wav|Bound, but not broken.
wavs/audio_0063.wav|It will take only a spark of my magic to end you.
wavs/audio_0064.wav|You may stare, but your mind may collapse.
wavs/audio_0065.wav|I will be free.
