audio_file|text
wavs/audio_0001.wav|You thinkIam the one to fear? Hmph.
wavs/audio_0002.wav|This is your remedy!
wavs/audio_0003.wav|You can't flee your fears!
wavs/audio_0004.wav|You force my hand!
wavs/audio_0005.wav|Such a burdened soul!
wavs/audio_0006.wav|Unworthy of my blades!
wavs/audio_0007.wav|Regrets hold you back!
wavs/audio_0008.wav|I'm not here for you!
wavs/audio_0009.wav|Inner demons, hmph.
wavs/audio_0010.wav|No time for sympathy!
wavs/audio_0011.wav|Aren't you a haunted one?
wavs/audio_0012.wav|Carve away doubt!
wavs/audio_0013.wav|Out of my way!
wavs/audio_0014.wav|Relinquish your burdens!
wavs/audio_0015.wav|Strike true!
wavs/audio_0016.wav|Yield, or fall to my blades!
wavs/audio_0017.wav|Your fight is with yourself!
wavs/audio_0018.wav|What must be done!
wavs/audio_0019.wav|Steel and spirit!
wavs/audio_0020.wav|I am not the enemy.
wavs/audio_0021.wav|Everyone wears masks!
wavs/audio_0022.wav|I will save you from yourself!
wavs/audio_0023.wav|Relent!
wavs/audio_0024.wav|Weighed down by fear!
wavs/audio_0025.wav|Bound by your insecurities!
wavs/audio_0026.wav|They always resist redemption!
wavs/audio_0027.wav|It's too late for you!
wavs/audio_0028.wav|Your doubt betrays you!
wavs/audio_0029.wav|Another... failure...
wavs/audio_0030.wav|It... consumes me...
wavs/audio_0031.wav|No respite! No... release...
wavs/audio_0032.wav|A familiar... embrace...
wavs/audio_0033.wav|Defeated? Hardly...
wavs/audio_0034.wav|Begone.
wavs/audio_0035.wav|Excised.
wavs/audio_0036.wav|Farewell.
wavs/audio_0037.wav|Nowhere to hide!
wavs/audio_0038.wav|Spirit unmoored!
wavs/audio_0039.wav|Cross the veil!
wavs/audio_0040.wav|Perhaps you can charm some sense into my foolish brother, Ahri.
wavs/audio_0041.wav|Unhaunted, unworthy of my time!
wavs/audio_0042.wav|Evelynn. A sugary mask for such a master of agony.
wavs/audio_0043.wav|What ancient horror is this?  Is... is this what an Azakana could become?!
wavs/audio_0044.wav|I have fallen outside your cycle, Lamb and Wolf. Are you here to usher me back?
wavs/audio_0045.wav|Kled... who hurt you?
wavs/audio_0046.wav|A comfort to see you, Lillia, after so many Azakana...
