audio_file|text
wavs/audio_0001.wav|It's your funeral.
wavs/audio_0002.wav|That is a lot of flesh to raise.
wavs/audio_0003.wav|Even your kind will join the mist.
wavs/audio_0004.wav|Yours will be the largest coffin.
wavs/audio_0005.wav|I need your essence, great beast.
wavs/audio_0006.wav|Your kind is supposed to live long. I am sorry.
wavs/audio_0007.wav|Prepare your epitaph.
wavs/audio_0008.wav|No eulogy for you.
wavs/audio_0009.wav|The beyond awaits you.
wavs/audio_0010.wav|You are to die.
wavs/audio_0011.wav|"“So many souls to liberate."""
wavs/audio_0012.wav|The mist comes for you.
wavs/audio_0013.wav|The grave is your home.
wavs/audio_0014.wav|I'll mourn for you.
wavs/audio_0015.wav|Die to rise again.
wavs/audio_0016.wav|Flesh that will soon find earth.
wavs/audio_0017.wav|You decay and do not know it.
wavs/audio_0018.wav|To dirt, you return.
wavs/audio_0019.wav|Scatter their remains.
wavs/audio_0020.wav|I am to bury you.
wavs/audio_0021.wav|You will rot.
wavs/audio_0022.wav|You are beyond saving.
wavs/audio_0023.wav|I will not damn you. I will end you.
wavs/audio_0024.wav|To death.
wavs/audio_0025.wav|Your tomb awaits.
wavs/audio_0026.wav|Respects to the dying.
wavs/audio_0027.wav|Your end is nigh.
wavs/audio_0028.wav|The sword of a great man.
wavs/audio_0029.wav|The king will return for it.
wavs/audio_0030.wav|The blade of the father.
wavs/audio_0031.wav|This blade has performed great feats.
wavs/audio_0032.wav|A sack to cover flesh and bone.
wavs/audio_0033.wav|The armor of someone soon to die.
wavs/audio_0034.wav|I wouldn't be caught dead in that.
wavs/audio_0035.wav|Mere rags, soon to fade.
wavs/audio_0036.wav|The dead need no armor, but I do.
wavs/audio_0037.wav|Taken from one who can no longer use it.
wavs/audio_0038.wav|It fits me to perfection.
wavs/audio_0039.wav|Too valuable to bury.
wavs/audio_0040.wav|To slow the fleet of foot.
wavs/audio_0041.wav|Cold, even to my touch.
wavs/audio_0042.wav|As cold as the hand of death.
wavs/audio_0043.wav|Red is the heart that barely beats in me.
wavs/audio_0044.wav|A vital ornament.
wavs/audio_0045.wav|It pulses with life, as theIslesonce did.
wavs/audio_0046.wav|Sometimes the dead can give life.
wavs/audio_0047.wav|A ghastly armament.
wavs/audio_0048.wav|A gift from kind specters.
wavs/audio_0049.wav|Stay with me, spirit.
wavs/audio_0050.wav|They'll find me hard to bury.
wavs/audio_0051.wav|Gives life when death is near.
wavs/audio_0052.wav|To cremate my foes.
wavs/audio_0053.wav|The fire of life burns within.
wavs/audio_0054.wav|The only warmth I've found.
wavs/audio_0055.wav|Don't bury me with it. You can't take it with you.
wavs/audio_0056.wav|Even a monk needs bread and water.
wavs/audio_0057.wav|Material items, for the material world.
