audio_file|text
wavs/audio_0001.wav|More of a dog person, huh?
wavs/audio_0002.wav|I hiss at you, giant pile of stones! Hiss!
wavs/audio_0003.wav|Grr, stupid overgrown scratching post!
wavs/audio_0004.wav|Oh, I amsoknocking that over!
wavs/audio_0005.wav|Claws out!
wavs/audio_0006.wav|The ol' pounce 'n' scratch!
wavs/audio_0007.wav|Attack-pounce!
wavs/audio_0008.wav|Scritchy-scratch!
wavs/audio_0009.wav|Bop!
wavs/audio_0010.wav|Get yourownbook!
wavs/audio_0011.wav|You're in bite range!
wavs/audio_0012.wav|Book doesn't like you.
wavs/audio_0013.wav|Like a tiger!
wavs/audio_0014.wav|Swat, swat!
wavs/audio_0015.wav|'Cat-tack'!
wavs/audio_0016.wav|Now kill 'em!Kill 'em!
wavs/audio_0017.wav|Lets slice 'em!
wavs/audio_0018.wav|Quick, lay on your back and kick 'em!
wavs/audio_0019.wav|We'll bite you!
wavs/audio_0020.wav|Do the bite-y thing! Yeah, that one!
wavs/audio_0021.wav|We got this? We got this.
wavs/audio_0022.wav|Use your claws! Yourclaws!
wavs/audio_0023.wav|Yeah! What they said!
wavs/audio_0024.wav|Do the secret five claw technique!
wavs/audio_0025.wav|Ooh! Ooh! Get him! Wooh!
wavs/audio_0026.wav|Watch out for us!
wavs/audio_0027.wav|Ha!
wavs/audio_0028.wav|Hiyah!
wavs/audio_0029.wav|Haa!
wavs/audio_0030.wav|Well, this is embarrassing...!
wavs/audio_0031.wav|No, no, no! We can fix this!
wavs/audio_0032.wav|Book, what's happening to you?
wavs/audio_0033.wav|Book, keep your light on!
wavs/audio_0034.wav|On to the next friend...
wavs/audio_0035.wav|Ouch! See you in your next life!
wavs/audio_0036.wav|We got the zoomies!
wavs/audio_0037.wav|Now you're ready to prowl!
wavs/audio_0038.wav|Wow, so you're in charge of the giant litter box, huh, bird guy?
wavs/audio_0039.wav|Yeah, you birds can fly! Well, so can cats! This cat.
wavs/audio_0040.wav|Hey, Kog'Maw! I like coughing things up too!
wavs/audio_0041.wav|You can't have Book, large metal cat!
wavs/audio_0042.wav|Book, you've got it backward. You said Nasus was a god! But he's just a dog.
wavs/audio_0043.wav|I'm gonna eat all your leaves and throw 'em up!
wavs/audio_0044.wav|Oh wow, hook man! Someone who can actually fish!
wavs/audio_0045.wav|Oh, so you're Xayah's pet!
wavs/audio_0046.wav|Tell me, Rengar. How do you groom all that fur?
wavs/audio_0047.wav|Teemo?
wavs/audio_0048.wav|Rats? I'm against them. Extremely bad.
wavs/audio_0049.wav|Make your shinylight glow, Vel'Koz! I wanna chase it!
wavs/audio_0050.wav|The red... dot... belongs toyou?!
wavs/audio_0051.wav|Rawr! That's how bears talk.
wavs/audio_0052.wav|My purr is louder than your growl, dog.
wavs/audio_0053.wav|Here, fishy fishy fishy! Meow~
wavs/audio_0054.wav|Have you seen my master? She's about your size.
wavs/audio_0055.wav|Get ready to face the mighty Yuumi! Oh, and Book.
wavs/audio_0056.wav|Rawr!!! ...'Scuse me.
wavs/audio_0057.wav|Fishy fishy fish! Mmph— Waagh!
wavs/audio_0058.wav|I bopped them all!
wavs/audio_0059.wav|The power of friendship!
wavs/audio_0060.wav|Squashed like a bug!
wavs/audio_0061.wav|Oh! I thought we were playing! Are youdead?!
wavs/audio_0062.wav|I did it! I knocked it over!
wavs/audio_0063.wav|We did it! We knocked 'em over!
wavs/audio_0064.wav|We're killing buddies!
wavs/audio_0065.wav|Do you want me to bury that?
wavs/audio_0066.wav|Woohoo! Now I can bat around the body!
wavs/audio_0067.wav|Cats make great companions! Just ask my master... who disappeared under mysterious circumstances.
wavs/audio_0068.wav|Alright! Which one of you's got great aim, and is good at chin scritches?
wavs/audio_0069.wav|Who's ready to risk our lives, defeat our foes, and maybe knock over some cups?
wavs/audio_0070.wav|Tell me the game plan again. Wait. Fish! Someone has fish! Where is it?
wavs/audio_0071.wav|So, who wants to be my best friend? ...Book, I know you're already my best friend!
