audio_file|text
wavs/audio_0001.wav|Well, now I'm just mad.
wavs/audio_0002.wav|Beat up, or beat down? I'm flexible.
wavs/audio_0003.wav|Time to introduce myself.
wavs/audio_0004.wav|Someone's about to get hurt.
wavs/audio_0005.wav|This is going to get messy.
wavs/audio_0006.wav|I'm done being nice.
wavs/audio_0007.wav|Don't be such a stiff.
wavs/audio_0008.wav|Well, now I'm just mad.
wavs/audio_0009.wav|Knock it off.
wavs/audio_0010.wav|Hey, sorry about the pain.
wavs/audio_0011.wav|No need to be mean.
wavs/audio_0012.wav|Pick on someone your own size.
wavs/audio_0013.wav|Don't push your luck, champ.
wavs/audio_0014.wav|These jerks don't know when to quit!
wavs/audio_0015.wav|Back off, pal.
wavs/audio_0016.wav|Keep it together.
wavs/audio_0017.wav|Look what they did.
wavs/audio_0018.wav|Not again.
wavs/audio_0019.wav|I hate it when this happens.
wavs/audio_0020.wav|Whoa!
wavs/audio_0021.wav|Woohoo!
wavs/audio_0022.wav|Incoming!
wavs/audio_0023.wav|Let's bounce!
wavs/audio_0024.wav|Put some spring in your step.
wavs/audio_0025.wav|There's plenty of me to go around.
wavs/audio_0026.wav|How's it goin'?
wavs/audio_0027.wav|I may bend, but I don't break.
wavs/audio_0028.wav|Just another day on the job.
wavs/audio_0029.wav|I could really use a snack right now.
wavs/audio_0030.wav|I never skip breakfast.
wavs/audio_0031.wav|Fighting is in my blood... I mean... my goo.
wavs/audio_0032.wav|Why thanks! I do work out.
wavs/audio_0033.wav|Mom always said I was big for my age.
wavs/audio_0034.wav|Everybody's a critic.
wavs/audio_0035.wav|Squashing time!
wavs/audio_0036.wav|Heads up!
wavs/audio_0037.wav|It's not how much you can lift. It'show good you look!
wavs/audio_0038.wav|Go big... orgo home!
wavs/audio_0039.wav|I was made for this... literally.
