audio_file|text
wavs/audio_0001.wav|Do not deny me.
wavs/audio_0002.wav|Ignorance is fatal.
wavs/audio_0003.wav|Cut the last breath from them.
wavs/audio_0004.wav|I am the blade in the darkness.
wavs/audio_0005.wav|They follow the wrong master.
wavs/audio_0006.wav|The shadow is within.
wavs/audio_0007.wav|Do not deny me.
wavs/audio_0008.wav|None escape their shadow.
wavs/audio_0009.wav|Punish restraint.
wavs/audio_0010.wav|Only the worthy will survive.
wavs/audio_0011.wav|Challenge me, Shen... you shall not be an orphan long!
wavs/audio_0012.wav|The truth lies in darkness.
wavs/audio_0013.wav|Balance is weakness.
wavs/audio_0014.wav|Balance is a fool's master.
wavs/audio_0015.wav|No technique is forbidden.
wavs/audio_0016.wav|Do not fear the shrouded path.
wavs/audio_0017.wav|Tradition is the corpse of wisdom.
wavs/audio_0018.wav|Embrace the shadow... or die in darkness!
wavs/audio_0019.wav|The merest shade of me... is enough to defeat you!
wavs/audio_0020.wav|The unseen blade is the deadliest.
