audio_file|text
wavs/audio_0001.wav|I'm going, I'm going.
wavs/audio_0002.wav|Fuses burning, fuses burning!
wavs/audio_0003.wav|Explosion first, questions later.
wavs/audio_0004.wav|Fire in the hole!
wavs/audio_0005.wav|It's gonna blowwww!
wavs/audio_0006.wav|Lights out!
wavs/audio_0007.wav|Bombs away!
wavs/audio_0008.wav|Take cover!
wavs/audio_0009.wav|Wh-ee-ee-ee... Uh-oh--
wavs/audio_0010.wav|No, no, no, no, no, no, no, no,no!
wavs/audio_0011.wav|Come on!
wavs/audio_0012.wav|Come on! Does this look dangerous to you? (Gobble) (exhale) (burp)
wavs/audio_0013.wav|The Mask
wavs/audio_0014.wav|Hey... where'd that bomb go?
wavs/audio_0015.wav|Impatient? I'm not impatient.
wavs/audio_0016.wav|Right-o!
wavs/audio_0017.wav|I love the smell of explosives in the morning
wavs/audio_0018.wav|Let's blow this joint.
wavs/audio_0019.wav|What do you mean this doesn't look safe?
wavs/audio_0020.wav|Anyone got a... match?
wavs/audio_0021.wav|Don't worry, I got this.
wavs/audio_0022.wav|Come on... come on, come on!
wavs/audio_0023.wav|Wah-hah!
wavs/audio_0024.wav|Woo!
wavs/audio_0025.wav|Ooh, look out below!
wavs/audio_0026.wav|I bring the Big One!
wavs/audio_0027.wav|Yeee-haaa!
wavs/audio_0028.wav|Incoming!
wavs/audio_0029.wav|Ohohoho, yeah!
wavs/audio_0030.wav|I'll take this one, and this one, and—throw it in your face!
wavs/audio_0031.wav|I like my enemies, like I like my bombs:about to explode!
wavs/audio_0032.wav|Wah-hah!
wavs/audio_0033.wav|Woo!
wavs/audio_0034.wav|This'll be a blast!
