audio_file|text
wavs/audio_0001.wav|Inevitably.
wavs/audio_0002.wav|Make haste!
wavs/audio_0003.wav|The way is always the same.
wavs/audio_0004.wav|Already there.
wavs/audio_0005.wav|All in good time.
wavs/audio_0006.wav|Time is wasting.
wavs/audio_0007.wav|Yes?
wavs/audio_0008.wav|Inevitably.
wavs/audio_0009.wav|Make haste!
wavs/audio_0010.wav|Inevitably.
wavs/audio_0011.wav|Yes?
wavs/audio_0012.wav|Already there.
wavs/audio_0013.wav|Time is wasting.
wavs/audio_0014.wav|The way is always the same.
wavs/audio_0015.wav|All in good time.
wavs/audio_0016.wav|I've seen your death, it was painful...
wavs/audio_0017.wav|I knew you would do that...
