audio_file|text
wavs/audio_0001.wav|No, that's not nice!
wavs/audio_0002.wav|Boop this!
wavs/audio_0003.wav|Um, I'm a space dragon! And I'm the center of the universe!
wavs/audio_0004.wav|I wanna pet you!
wavs/audio_0005.wav|Bad, bad space dragon! Bad!
wavs/audio_0006.wav|You're so full of yourself!
wavs/audio_0007.wav|I'm not saying Lux isn't a good girlfriend buuuttt... you could do better!
wavs/audio_0008.wav|You just haven't realized how cool I am yet!
wavs/audio_0009.wav|Do I like you or chocolate mooncake more?! So hard to decide!
wavs/audio_0010.wav|Hey! I might like liiikkeee you!
wavs/audio_0011.wav|Hello! Hi! Hey! Or... whatever...
wavs/audio_0012.wav|I attack you! Because... uh,  reasons!
wavs/audio_0013.wav|I wanna steal you!
wavs/audio_0014.wav|I did not say I wanna kiss you... yet...
wavs/audio_0015.wav|Why won't you hang out with me?!
wavs/audio_0016.wav|Oh! So pretty! I want you to be my friend! Pleeeaaaasee!
wavs/audio_0017.wav|I'm just cute. You're gorgeous!
wavs/audio_0018.wav|You're so pretty!
wavs/audio_0019.wav|Can I tell you a secret? I like you!
wavs/audio_0020.wav|Do you wanna be sisters?
wavs/audio_0021.wav|You're so cool! I love you!
wavs/audio_0022.wav|Isn't this cool?
wavs/audio_0023.wav|This is fun, right?
wavs/audio_0024.wav|It's so random, becoming best friends..
wavs/audio_0025.wav|Do you have a boyfriend? Tell me! I must know!
wavs/audio_0026.wav|Let's like, do something together... Oh! Do you like mooncake?!
wavs/audio_0027.wav|I have a gift for you!
wavs/audio_0028.wav|Like you, I will try my best! Also, chocolate mooncake!
wavs/audio_0029.wav|We are going to be best friends!
wavs/audio_0030.wav|What's wrong with liking pink?
wavs/audio_0031.wav|I like your hair and clothes, so pretty!
wavs/audio_0032.wav|I'm girly too. I'm a girl, aren't I?
wavs/audio_0033.wav|You need more stardust, I could give you some!
wavs/audio_0034.wav|Do you even know he likes you!?
wavs/audio_0035.wav|Ezreal is really dreamy!
wavs/audio_0036.wav|I'm not attacking you! I'm expressing my displeasure!
wavs/audio_0037.wav|You are my rival! Prepare to be destroyed!
wavs/audio_0038.wav|Tall girls suck!
wavs/audio_0039.wav|Oh so cute! So so cute!
wavs/audio_0040.wav|Adorable!
wavs/audio_0041.wav|Oh you're precious. I could eat you up!
wavs/audio_0042.wav|You're supposed to be happy fuzzy.
wavs/audio_0043.wav|What a wittle wovewy thing you are!
wavs/audio_0044.wav|You're. So. Fluffy!
wavs/audio_0045.wav|I just want to hug you 'til you explode!
wavs/audio_0046.wav|Run you fluffy cutie thing!
wavs/audio_0047.wav|Are you made of rainbows? So cute!
wavs/audio_0048.wav|You're ugly, but in a cute way.
wavs/audio_0049.wav|Could we play a game pleeease?
wavs/audio_0050.wav|Changed your mind about me yet?
wavs/audio_0051.wav|C'mon! Try and catch me!
wavs/audio_0052.wav|Please smile!
wavs/audio_0053.wav|Here you go!
wavs/audio_0054.wav|This is the precipice of a new reality!
wavs/audio_0055.wav|We're having fun, right?
wavs/audio_0056.wav|Time to change!
wavs/audio_0057.wav|More sparkles,now!
wavs/audio_0058.wav|♪ What's your name? ♪
wavs/audio_0059.wav|I'm coming over to say
wavs/audio_0060.wav|How's it going?
wavs/audio_0061.wav|At dusk, a new game begins.
wavs/audio_0062.wav|You're so funny, acting like magic hurts!
wavs/audio_0063.wav|Good attacking! It's my turn, right?
wavs/audio_0064.wav|I'm over here!
wavs/audio_0065.wav|I can't help myself in doing mean things, sorry!
wavs/audio_0066.wav|Oh, do you wanna do something, we should do something!
wavs/audio_0067.wav|Delightful little world you have... I like it!
wavs/audio_0068.wav|I don't mean to hurt you. I just do sometimes!
wavs/audio_0069.wav|Don't be boring!
wavs/audio_0070.wav|You won't play? I'll make you!
wavs/audio_0071.wav|I am called Zoe.
wavs/audio_0072.wav|These interactions are pretty weird.
wavs/audio_0073.wav|Oh, you silly bean!
wavs/audio_0074.wav|So this the type of game you like?
wavs/audio_0075.wav|I'm Zoe. What's your name?
wavs/audio_0076.wav|Do something fun! The world might be ending... Or not!
wavs/audio_0077.wav|Hey, what else is fun?
wavs/audio_0078.wav|This is the game you wanna play?
wavs/audio_0079.wav|Are you smiling yet?
wavs/audio_0080.wav|Hi! My name is Zoe.
wavs/audio_0081.wav|Fine weather, isn't it?
wavs/audio_0082.wav|Your lives are short, but I love sparkles...
wavs/audio_0083.wav|Wanna learn to play bubble stars?
wavs/audio_0084.wav|This should be fun.Fun~!
wavs/audio_0085.wav|Paradigm shift time!
wavs/audio_0086.wav|Hey, whatcha doing?
wavs/audio_0087.wav|Tag, you're it! Hey, I said you're it!
wavs/audio_0088.wav|I don't want to grow up. You can't make me.
wavs/audio_0089.wav|♪ Want to see something neat? ♪
wavs/audio_0090.wav|Ha! Let's get vloopy! ...That's a word, right?
wavs/audio_0091.wav|I've got a magic present for you! Here it comes!
wavs/audio_0092.wav|I should start a band.
wavs/audio_0093.wav|So dizzy...
wavs/audio_0094.wav|Whoa, whoa, whoa...
wavs/audio_0095.wav|I'm dizzy...
wavs/audio_0096.wav|Wooh...
wavs/audio_0097.wav|Are you from here? I walk between worlds. Well, hop, actually. You're cuuuute...
wavs/audio_0098.wav|If you won't pay attention to me, I'll blow up your world! Probably not... but I might!
wavs/audio_0099.wav|I'm just saying, if you wanted to hold hands, that would be okay.
wavs/audio_0100.wav|I have a question I wanna ask, buuuuut I need you to say yes before I ask it.
wavs/audio_0101.wav|You don't own rainbows!
wavs/audio_0102.wav|Double rainbows are dumb. You're dumb.
wavs/audio_0103.wav|Ooh?
wavs/audio_0104.wav|Aww, space dragon should have gotten back on his leash.
wavs/audio_0105.wav|I'm gonna miss that cosmic dragon... Oh look, butterflies!
wavs/audio_0106.wav|Said he made all the stars, and the humans believed him?!
wavs/audio_0107.wav|Cosmic space dragon? Kinda chatty. So arrogant.
wavs/audio_0108.wav|I liked your stars, but you're not the big deal you thought you were.
wavs/audio_0109.wav|What? No! Why isn't he moving anymore?
wavs/audio_0110.wav|Oh no, I think I played too rough!
wavs/audio_0111.wav|But now how is he gonna be my first kiss? He's dead!
wavs/audio_0112.wav|He was so cute. I mean, uh, not that I noticed. Hehe.
wavs/audio_0113.wav|You probably didn't deserve that, Lux. Sorry, but not really.
wavs/audio_0114.wav|Oops, I might have gotten a little jealous. Sorry, Lux.
wavs/audio_0115.wav|Bye bye 'blondie'!
wavs/audio_0116.wav|I do not like yellow hair. And Demacia. And light magic. And everything about her!
wavs/audio_0117.wav|'Oh, I'm Lux! I'm so tall, and I like all the boys!' TAKE YOUR SPARKS!
wavs/audio_0118.wav|We all grow up! Well, you died, but... y'know.
