audio_file|text
wavs/audio_0001.wav|Soon...
wavs/audio_0002.wav|None will escape my grasp!
wavs/audio_0003.wav|What lurks beneath the soil?
wavs/audio_0004.wav|Choke the life from them.
wavs/audio_0005.wav|My prey thinks itself clever.
wavs/audio_0006.wav|Death is in bloom.
wavs/audio_0007.wav|The harvest is upon us.
wavs/audio_0008.wav|Barbs!
wavs/audio_0009.wav|Whip vine!
wavs/audio_0010.wav|Briar!
wavs/audio_0011.wav|Lash!
wavs/audio_0012.wav|Our seasons are reversed: my spring, your fall.
wavs/audio_0013.wav|Where are your friends? Mine are all around.
wavs/audio_0014.wav|A promising garden.
wavs/audio_0015.wav|Just a harmless flower.
wavs/audio_0016.wav|Wait until my seeds take root.
wavs/audio_0017.wav|Such a busy world.
wavs/audio_0018.wav|Venture off the beaten path.
wavs/audio_0019.wav|The forest holds many surprises.
wavs/audio_0020.wav|Take careful steps.
wavs/audio_0021.wav|Things aren't always what they seem.
wavs/audio_0022.wav|So much more to see.
wavs/audio_0023.wav|Come closer.
wavs/audio_0024.wav|Pierce!
wavs/audio_0025.wav|Burst!
wavs/audio_0026.wav|Sprout!
wavs/audio_0027.wav|Bloom!
wavs/audio_0028.wav|No place is safe while I'm free!
wavs/audio_0029.wav|StarCraft II: Heart of the Swarm
wavs/audio_0030.wav|Just wait...
wavs/audio_0031.wav|Live...
wavs/audio_0032.wav|Be ready...
wavs/audio_0033.wav|Soon...
wavs/audio_0034.wav|Feel the thorns' embrace.
